 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_TxRed:0190-0164-0093:Pos4-1_t0190_c0002,640,494.230,93.298,164.594,190,1,2,461.312
2,ori_TxRed:0189-0161-0092:Pos4-1_t0189_c0002,587,499.131,93.219,161.372,189,0,3,461.476
3,ori_TxRed:0188-0158-0092:Pos4-1_t0188_c0002,564,495.809,93.018,158.337,188,0,4,461.226
4,ori_TxRed:0187-0155-0093:Pos4-1_t0187_c0002,487,497.811,93.279,155.861,187,0,5,461.873
5,ori_TxRed:0186-0155-0093:Pos4-1_t0186_c0002,438,497.233,93.216,155.284,186,0,6,461.425
6,ori_TxRed:0185-0153-0092:Pos4-1_t0185_c0002,415,494.904,92.974,153.316,185,0,7,461.561
7,ori_TxRed:0184-0167-0092:Pos4-1_t0184_c0002,738,499.749,92.971,167.707,184,0,8,461.612
8,ori_TxRed:0183-0165-0092:Pos4-1_t0183_c0002,662,502.213,92.682,165.370,183,0,9,462.385
9,ori_TxRed:0182-0161-0092:Pos4-1_t0182_c0002,639,502.125,92.697,161.730,182,0,10,462.230
10,ori_TxRed:0181-0161-0092:Pos4-1_t0181_c0002,567,500.432,92.678,160.579,181,0,11,461.786
11,ori_TxRed:0180-0158-0093:Pos4-1_t0180_c0002,526,496.120,93.204,158.551,180,0,12,461.317
12,ori_TxRed:0179-0157-0093:Pos4-1_t0179_c0002,473,500.224,93.151,156.731,179,0,13,461.903
13,ori_TxRed:0178-0153-0093:Pos4-1_t0178_c0002,413,497.896,93.197,153.524,178,0,14,463.081
14,ori_TxRed:0177-0169-0093:Pos4-1_t0177_c0002,742,501.305,93.195,169.913,177,0,15,462.435
15,ori_TxRed:0176-0169-0093:Pos4-1_t0176_c0002,756,498.548,93.131,168.941,176,0,16,462.938
16,ori_TxRed:0175-0167-0093:Pos4-1_t0175_c0002,706,498.067,93.106,167.451,175,0,17,462.500
17,ori_TxRed:0174-0164-0093:Pos4-1_t0174_c0002,632,498.448,93.314,164.637,174,0,18,462.174
18,ori_TxRed:0173-0161-0093:Pos4-1_t0173_c0002,607,496.255,93.283,162.228,173,0,19,461.721
19,ori_TxRed:0172-0160-0093:Pos4-1_t0172_c0002,558,492.885,93.193,160.047,172,0,20,462.064
20,ori_TxRed:0171-0159-0093:Pos4-1_t0171_c0002,519,493.846,93.199,159.683,171,0,21,462.318
21,ori_TxRed:0170-0156-0093:Pos4-1_t0170_c0002,430,496.170,92.975,155.615,170,0,22,462.196
22,ori_TxRed:0169-0150-0092:Pos4-1_t0169_c0002,405,494.985,92.863,150.147,169,0,23,461.916
23,ori_TxRed:0168-0133-0095:Pos4-1_t0168_c0002,651,485.588,95.582,134.922,168,0,24,462.472
24,ori_TxRed:0167-0130-0095:Pos4-1_t0167_c0002,577,483.487,96.104,131.892,167,0,25,461.447
