 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_ph:0190-0165-0090:Pos0-2_t0190_c0001,646,654.116,90.908,163.858,190,1,2,688.181
2,ori_ph:0189-0163-0089:Pos0-2_t0189_c0001,578,651.782,90.006,161.983,189,0,3,689.033
3,ori_ph:0188-0183-0093:Pos0-2_t0188_c0001,1088,659.575,92.864,181.311,188,0,4,689.189
4,ori_ph:0187-0177-0093:Pos0-2_t0187_c0001,916,652.593,92.700,176.124,187,0,5,692.172
5,ori_ph:0186-0173-0093:Pos0-2_t0186_c0001,856,651.013,92.291,172.218,186,0,6,686.714
6,ori_ph:0185-0168-0091:Pos0-2_t0185_c0001,694,653.140,91.240,168.169,185,0,7,687.246
7,ori_ph:0184-0182-0093:Pos0-2_t0184_c0001,1071,649.090,92.140,181.665,184,0,8,682.067
8,ori_ph:0183-0178-0093:Pos0-2_t0183_c0001,914,653.268,91.944,177.736,183,0,9,683.287
9,ori_ph:0182-0176-0093:Pos0-2_t0182_c0001,795,656.092,92.664,174.749,182,0,10,692.283
10,ori_ph:0181-0171-0093:Pos0-2_t0181_c0001,748,653.603,92.218,170.262,181,0,11,688.116
11,ori_ph:0180-0166-0092:Pos0-2_t0180_c0001,701,655.683,91.249,166.112,180,0,12,686.334
12,ori_ph:0179-0165-0091:Pos0-2_t0179_c0001,649,659.243,90.809,164.835,179,0,13,687.877
13,ori_ph:0178-0163-0091:Pos0-2_t0178_c0001,584,656.464,90.626,162.856,178,0,14,686.096
14,ori_ph:0177-0176-0093:Pos0-2_t0177_c0001,861,653.650,92.437,175.111,177,0,15,679.836
15,ori_ph:0176-0171-0093:Pos0-2_t0176_c0001,746,653.748,92.473,170.634,176,0,16,685.161
16,ori_ph:0175-0168-0093:Pos0-2_t0175_c0001,713,656.896,92.813,167.029,175,0,17,685.788
17,ori_ph:0174-0164-0091:Pos0-2_t0174_c0001,608,654.643,90.990,163.959,174,0,18,687.999
18,ori_ph:0173-0162-0090:Pos0-2_t0173_c0001,550,662.520,90.062,161.768,173,0,19,690.113
19,ori_ph:0172-0175-0093:Pos0-2_t0172_c0001,847,667.619,92.214,175.114,172,0,20,700.479
20,ori_ph:0171-0173-0091:Pos0-2_t0171_c0001,787,665.672,91.624,173.282,171,0,21,693.271
21,ori_ph:0170-0169-0091:Pos0-2_t0170_c0001,690,665.916,91.107,170.020,170,0,22,688.014
22,ori_ph:0169-0167-0091:Pos0-2_t0169_c0001,666,664.411,91.071,167.384,169,0,23,687.588
