No,Dividing,MeanTxRed,Number of division,Time
1,1,73.903,0,0
2,1,85.448,0,0
3,1,82.363,0,0
4,1,109.936,0,0
5,1,51.842,0,0
6,1,47.435,0,0
7,1,59.421,0,0
8,1,61.904,0,0
9,0,41.685,0,0
10,0,71.299,0,0
11,1,50.414,0,0
12,1,74.771,0,0
13,1,53.463,0,0
14,0,76.73,0,0
15,1,58.5,0,0
16,0,77.078,0,0
17,1,57.381,0,0
18,0,52.604,0,0
19,0,57.236,0,0
20,1,69.225,0,0
21,1,83.869,0,0
22,1,64.398,0,0
23,1,63.95,0,0
24,1,80.241,0,0
25,0,51.247,0,0
26,1,75.891,0,0
27,1,62.134,0,0
28,1,85.427,0,0
29,1,111.69,0,0
30,1,53.408,0,0
31,0,79.54,0,0
32,0,65.034,0,0
33,1,48.803,0,0
34,1,74.034,0,0
35,1,102.242,0,0
36,0,109.338,0,0
37,0,56.873,0,0
38,1,51.32,0,0
39,1,68.033,0,0
40,1,61.805,0,0
41,0,79.173,0,0
42,0,88.706,0,0
43,0,61.694,0,0
44,1,70.163,0,0
45,0,60.341,0,0
46,1,83.15,0,0
47,0,75.72,0,0
48,1,87.713,0,0
49,1,70.827,0,0
50,1,69.778,0,0
51,0,56.975,0,0
52,0,58.026,0,0
53,1,56.745,0,0
54,0,51.45,0,0
55,1,70.116,0,0
56,0,41.201,0,0
57,0,65.774,0,0
58,1,60.697,0,0
59,1,60.136,0,0
60,0,40.768,0,0
61,1,57.926,0,0
62,0,87.516,0,0
63,1,60.346,0,0
64,1,54.123,0,0
65,1,31.476,0,0
66,1,52.093,0,0
67,1,40.119,0,0
68,1,59.675,0,0
69,1,98.293,0,0
70,1,51.776,0,0
71,1,45.041,0,0
72,1,61.083,0,0
73,0,67.15,0,0
74,0,57.651,0,0
75,0,47.341,0,0
76,0,69.792,0,0
77,0,68.362,0,0
78,1,69.489,0,0
79,1,48.932,0,0
80,0,51.352,0,0
81,0,65.089,0,0
82,0,71.617,0,0
83,1,44.839,0,0
84,0,73.723,0,0
85,0,40.768,0,0
86,1,78.132,0,0
87,0,64.852,0,0
88,0,44.451,0,0
89,0,36.986,0,0
90,0,44.357,0,0
91,0,76.469,0,0
92,1,52.425,0,0
93,1,61.426,0,0
94,1,63.557,0,0
95,0,46.986,0,0
96,0,62.451,0,0
97,1,66.648,0,0
98,0,76.94,0,0
99,0,52.316,0,0
100,0,55.743,0,0
101,0,42.185,0,0
102,0,59.847,0,0
103,1,84.072,0,0
104,0,52.005,0,0
105,0,46,0,0
106,0,46.661,0,0
107,0,43.093,0,0
108,0,37.76,0,0
109,0,50.067,0,0
110,1,40.277,0,0
111,0,52.151,0,0
112,1,79.927,0,0
113,0,68.052,0,0
114,0,63.617,0,0
115,0,89.215,0,0
116,0,71.152,0,0
117,0,69.823,0,0
118,0,81.019,0,0
119,0,83.015,0,0
120,1,82.47,0,0
121,0,50.727,0,0
122,1,56.192,0,0
123,0,33.491,0,0
124,0,70.652,0,0
125,0,57.237,0,0
126,0,50.486,0,0
127,0,69.541,0,0
128,1,61.78,0,0
129,1,64.875,0,0
130,0,74.162,0,0
131,0,60.259,0,0
132,0,42.831,0,0
133,1,53.335,0,0
134,0,76.633,0,0
135,0,71.175,0,0
136,1,40.285,0,0
137,0,78.897,0,0
138,0,51.911,0,0
139,0,59.278,0,0
140,1,62.095,0,0
141,0,48.744,0,0
142,1,103.177,0,0
143,1,57.199,0,0
144,0,78.424,0,0
145,0,69.475,0,0
146,0,45.087,0,0
147,1,42.946,0,0
148,0,40.116,0,0
149,0,90.626,0,0
150,0,37.555,0,0
151,0,74.939,0,0
152,0,105.57,0,0
153,0,43.777,0,0
154,0,102.135,0,0
155,0,97.508,0,0
156,0,59.455,0,0
157,0,50.412,0,0
158,0,89.188,0,0
159,0,29.274,0,0
160,0,47.377,0,0
161,0,71.912,0,0
162,0,86.649,0,0
163,0,88.266,0,0
164,1,103.613,0,0
165,0,76.287,0,0
166,0,30.214,0,0
167,0,132.199,0,0
168,0,62.74,0,0
169,1,49.441,0,0
170,0,50.708,0,0
171,0,58.458,0,0
172,0,105.251,0,0
173,0,79.354,0,0
174,0,63.751,0,0
175,1,96.27,0,0
176,0,111.207,0,0
177,0,65.607,0,0
178,1,70.478,0,0
179,0,65.169,0,0
180,0,65.731,0,0
181,0,92.711,0,0
182,0,55.668,0,0
183,0,49.568,0,0
184,0,57.938,0,0
185,0,85.344,0,0
186,0,67.279,0,0
187,0,113.544,0,0
188,0,72.025,0,0
189,0,53.626,0,0
190,0,103.998,0,0
191,0,51.022,0,0
192,0,52.766,0,0
193,1,123.629,0,0
194,1,67.462,0,0
195,0,53.788,0,0
196,0,70.32,0,0
197,0,49.399,0,0
198,0,88.631,0,0
199,1,117.428,0,0
200,0,73.851,0,0
201,1,59.069,0,0
202,0,56,0,0
203,0,43.718,0,0
204,0,75.618,0,0
205,1,60.387,0,0
206,0,79.606,0,0
207,0,105.627,0,0
208,1,137.391,0,0
209,1,70.528,0,0
