No,Dividing,MeanTxRed,Time
1,0,1.645,20
2,0,-0.491,20
3,0,-0.051,20
4,0,1.921,20
5,0,0.451,20
6,0,-0.866,20
7,0,2.1,20
8,0,0.056,20
9,0,-0.671,20
10,0,0.141,20
11,0,-0.919,20
12,0,-1.561,20
13,0,1.725,20
14,0,-1.735,20
15,0,0.803,20
16,0,2.179,20
17,0,-0.969,20
18,0,2.794,20
19,0,1.094,20
20,0,1.406,20
21,0,1.78,20
22,0,2.932,20
23,0,-0.088,20
24,0,-0.489,20
25,0,-1.699,20
26,0,1.62,20
27,0,-1.027,20
28,0,-2.756,20
29,0,0.956,20
30,0,0.212,20
31,0,-0.168,20
32,0,1.075,20
33,0,-0.769,20
34,0,1.44,20
35,0,0.836,20
36,0,0.493,20
37,0,-0.057,20
38,0,-0.543,20
39,0,0.989,20
40,0,-0.45,20
41,0,-0.725,20
42,0,-0.866,20
43,0,-1.719,20
44,0,-1.1,20
45,0,0.663,20
46,0,-2.823,20
47,0,0.822,20
48,0,0.459,20
49,0,2.163,20
50,0,-0.696,20
51,0,-1.065,20
52,0,0.598,20
53,0,2.367,20
54,0,0.061,20
55,0,0.357,20
56,0,-0.418,20
57,0,3.236,20
58,0,-2.435,20
59,0,1.166,20
60,0,-0.562,20
61,0,0.123,20
62,0,0.738,20
63,0,0.357,20
64,0,1.3,20
65,0,-0.637,20
66,0,0.36,20
67,0,2.435,20
68,0,0.516,20
69,0,0.848,20
70,0,-0.983,20
71,0,-0.429,20
72,0,0.9,20
73,0,1.7,20
74,0,0.769,20
75,0,-0.078,20
76,0,-1.351,20
77,0,0.886,20
78,0,2.356,20
79,0,1.608,20
80,0,3.008,20
81,0,1.508,20
82,0,2.633,20
83,0,1.69,20
84,0,-0.388,20
85,0,2.996,20
86,0,0.646,20
87,0,-0.39,20
88,0,-0.381,20
89,0,-2.305,20
90,0,1.566,20
91,0,-0.477,20
92,0,2.361,20
93,0,-0.323,20
94,0,1.002,20
95,0,-1.427,20
96,0,1.582,20
97,0,-0.63,20
98,0,1.246,20
99,0,-1.088,20
100,0,-0.357,20
101,0,0.133,20
102,0,-0.72,20
103,0,-0.421,20
104,0,0.806,20
105,0,1.575,20
106,0,0.172,20
107,0,1.43,20
