No,Index,Frame,Age,Div_Age,Generation_time
2_1,-1,28,0,-16,50
,-1,53,1,-15,54
,-1,80,2,-14,56
,-1,108,3,-13,58
,-1,137,4,-12,62
,-1,168,5,-11,70
,-1,203,6,-10,68
,-1,237,7,-9,88
,-1,281,8,-8,82
,-1,322,9,-7,42
,-1,343,10,-6,56
,-1,371,11,-5,84
,-1,413,12,-4,90
,-1,458,13,-3,72
,-1,494,14,-2,72
,-1,530,15,-1,96
,-1,578,16,0,
,0,615,17,0,
,1,664,18,0,
,1,694,19,1,60
,1,776,20,2,164
,1,959,21,3,366
,1,988,22,4,58
,1,1015,23,5,54
,1,1032,24,6,34
,1,1071,25,7,78
,1,1106,26,8,70
,1,1188,27,9,164
,1,1231,28,10,86
,1,1277,29,11,92
,,,,,
2_2,-1,21,0,-16,56
,-1,49,1,-15,100
,-1,99,2,-14,54
,-1,126,3,-13,60
,-1,156,4,-12,56
,-1,184,5,-11,66
,-1,217,6,-10,46
,-1,240,7,-9,52
,-1,266,8,-8,88
,-1,310,9,-7,40
,-1,330,10,-6,68
,-1,364,11,-5,78
,-1,403,12,-4,74
,-1,440,13,-3,148
,-1,514,14,-2,58
,-1,543,15,-1,68
,-1,577,16,0,
,0,615,17,0,
,1,652,18,0,
,1,707,19,1,110
,1,759,20,2,104
,,,,,
2_3,-1,6,0,-14,38
,-1,25,1,-13,72
,-1,61,2,-12,92
,-1,107,3,-11,74
,-1,144,4,-10,92
,-1,190,5,-9,68
,-1,224,6,-8,108
,-1,278,7,-7,46
,-1,301,8,-6,90
,-1,346,9,-5,108
,-1,400,10,-4,50
,-1,425,11,-3,102
,-1,476,12,-2,68
,-1,510,13,-1,80
,-1,550,14,0,
,0,610,15,0,
,1,658,16,0,
,1,679,17,1,42
,1,728,18,2,98
,1,769,19,3,82
,1,796,20,4,54
,,,,,
2_4,-1,53,0,-12,86
,-1,96,1,-11,88
,-1,140,2,-10,150
,-1,215,3,-9,104
,-1,267,4,-8,96
,-1,315,5,-7,60
,-1,345,6,-6,62
,-1,376,7,-5,78
,-1,415,8,-4,82
,-1,456,9,-3,90
,-1,501,10,-2,92
,-1,547,11,-1,96
,-1,595,12,0,
,1,628,13,0,
,1,655,14,1,54
,1,682,15,2,54
,1,714,16,3,64
,1,746,17,4,64
,1,806,18,5,120
,1,855,19,6,98
,1,906,20,7,102
,1,954,21,8,96
,1,984,22,9,60
,1,1022,23,10,76
,1,1073,24,11,102
,1,1118,25,12,90
,,,,,
2_5,-1,36,0,-14,66
,-1,69,1,-13,116
,-1,127,2,-12,122
,-1,188,3,-11,136
,-1,256,4,-10,50
,-1,281,5,-9,68
,-1,315,6,-8,178
,-1,404,7,-7,30
,-1,419,8,-6,66
,-1,452,9,-5,58
,-1,481,10,-4,48
,-1,505,11,-3,62
,-1,536,12,-2,76
,-1,574,13,-1,32
,-1,590,14,0,
,1,631,15,0,
,1,668,16,1,74
,1,704,17,2,72
,1,734,18,3,60
,1,772,19,4,76
,1,809,20,5,74
,1,880,21,6,142
,1,931,22,7,102
,1,980,23,8,98
,,,,,
3_1,-1,48,0,-12,28
,-1,62,1,-11,62
,-1,93,2,-10,52
,-1,119,3,-9,60
,-1,149,4,-8,74
,-1,186,5,-7,94
,-1,233,6,-6,110
,-1,288,7,-5,130
,-1,353,8,-4,126
,-1,416,9,-3,154
,-1,493,10,-2,78
,-1,532,11,-1,80
,-1,572,12,0,
,0,614,13,0,
,1,661,14,0,
,1,709,15,1,96
,1,757,16,2,96
,1,797,17,3,80
,1,846,18,4,98
,1,902,19,5,112
,1,935,20,6,66
,,,,,
4_1,-1,28,0,-12,68
,-1,62,1,-11,78
,-1,101,2,-10,70
,-1,136,3,-9,78
,-1,175,4,-8,84
,-1,217,5,-7,118
,-1,276,6,-6,98
,-1,325,7,-5,140
,-1,395,8,-4,116
,-1,453,9,-3,58
,-1,482,10,-2,50
,-1,507,11,-1,108
,-1,561,12,0,
,0,605,13,0,
,1,686,14,0,
,1,758,15,1,144
,1,780,16,2,44
,1,811,17,3,62
,1,836,18,4,50
,1,882,19,5,92
,1,912,20,6,60
,1,950,21,7,76
,1,982,22,8,64
,1,1007,23,9,50
,1,1047,24,10,80
,1,1096,25,11,98
,1,1151,26,12,110
,1,1198,27,13,94
,1,1277,28,14,158
,,,,,
6_1,-1,45,0,-14,70
,-1,80,1,-13,98
,-1,129,2,-12,86
,-1,172,3,-11,100
,-1,222,4,-10,74
,-1,259,5,-9,78
,-1,298,6,-8,66
,-1,331,7,-7,62
,-1,362,8,-6,80
,-1,402,9,-5,54
,-1,429,10,-4,62
,-1,460,11,-3,80
,-1,500,12,-2,90
,-1,545,13,-1,48
,-1,569,14,0,
,0,601,15,0,
,1,641,16,0,
,1,682,17,1,82
,1,723,18,2,82
,1,776,19,3,106
,1,818,20,4,84
,1,929,21,5,222
,1,947,22,6,36
,1,974,23,7,54
,1,1000,24,8,52
,1,1035,25,9,70
,1,1094,26,10,118
,1,1132,27,11,76
,1,1183,28,12,102
,1,1240,29,13,114
