No,Index,Frame,Age,Div_Age,Generation_time
0_1,-1,17,0,-18,54
,-1,44,1,-17,68
,-1,78,2,-16,68
,-1,112,3,-15,60
,-1,142,4,-14,50
,-1,167,5,-13,62
,-1,198,6,-12,50
,-1,223,7,-11,84
,-1,265,8,-10,52
,-1,291,9,-9,42
,-1,312,10,-8,42
,-1,333,11,-7,48
,-1,357,12,-6,66
,-1,390,13,-5,42
,-1,411,14,-4,50
,-1,436,15,-3,92
,-1,482,16,-2,72
,-1,518,17,-1,94
,-1,565,18,0,
,0,607,19,,
,1,644,20,0,
,1,684,21,1,80
,1,703,22,2,38
,1,721,23,3,36
,1,746,24,4,50
,1,787,25,5,82
,1,818,26,6,62
,1,854,27,7,72
,1,909,28,8,110
,1,941,29,9,64
,1,985,30,10,88
,1,1025,31,11,80
,1,1047,32,12,44
,1,1071,33,13,48
,1,1096,34,14,50
,1,1131,35,15,70
,1,1154,36,16,46
,1,1176,37,17,44
,1,1206,38,18,60
,,,,,
1_1,-1,4,0,-19,42
,-1,25,1,-18,60
,-1,55,2,-17,58
,-1,84,3,-16,88
,-1,128,4,-15,58
,-1,157,5,-14,42
,-1,178,6,-13,54
,-1,205,7,-12,52
,-1,231,8,-11,62
,-1,262,9,-10,66
,-1,295,10,-9,48
,-1,319,11,-8,74
,-1,356,12,-7,72
,-1,392,13,-6,64
,-1,424,14,-5,54
,-1,451,15,-4,52
,-1,477,16,-3,116
,-1,535,17,-2,40
,-1,555,18,-1,82
,-1,596,19,0,
,1,618,20,0,
,1,639,21,1,42
,1,672,22,2,66
,1,765,23,3,186
,1,797,24,4,64
,1,810,25,5,26
,1,845,26,6,70
,1,867,27,7,44
,,,,,
1_2,-1,44,0,-17,94
,-1,91,1,-16,54
,-1,118,2,-15,84
,-1,160,3,-14,64
,-1,192,4,-13,68
,-1,226,5,-12,46
,-1,249,6,-11,48
,-1,273,7,-10,36
,-1,291,8,-9,152
,-1,367,9,-8,24
,-1,379,10,-7,30
,-1,394,11,-6,48
,-1,418,12,-5,50
,-1,443,13,-4,62
,-1,474,14,-3,40
,-1,494,15,-2,58
,-1,523,16,-1,102
,-1,574,17,0,
,1,624,18,0,
,1,673,19,1,98
,1,705,20,2,64
,1,726,21,3,42
,1,766,22,4,80
,1,806,23,5,80
,1,829,24,6,46
,1,875,25,7,92
,1,908,26,8,66
,1,940,27,9,64
,1,980,28,10,80
,1,1003,29,11,46
,1,1023,30,12,40
,1,1048,31,13,50
,1,1081,32,14,66
,1,1115,33,15,68
,1,1143,34,16,56
,1,1205,35,17,124
,,,,,
2_1,-1,12,0,-16,68
,-1,46,1,-15,70
,-1,81,2,-14,62
,-1,112,3,-13,88
,-1,156,4,-12,64
,-1,188,5,-11,54
,-1,215,6,-10,62
,-1,246,7,-9,82
,-1,287,8,-8,50
,-1,312,9,-7,76
,-1,350,10,-6,114
,-1,407,11,-5,70
,-1,442,12,-4,68
,-1,476,13,-3,70
,-1,511,14,-2,78
,-1,550,15,-1,80
,-1,590,16,0,
,0,614,17,,
,1,642,18,0,
,1,673,19,1,62
,1,705,20,2,64
,1,734,21,3,58
,1,785,22,4,102
,1,840,23,5,110
,1,875,24,6,70
,1,906,25,7,62
,1,922,26,8,32
,1,940,27,9,36
,1,961,28,10,42
,1,984,29,11,46
,1,1007,30,12,46
,1,1028,31,13,42
,1,1061,32,14,66
,1,1091,33,15,60
,1,1127,34,16,72
,1,1144,35,17,34
,1,1172,36,18,56
,1,1199,37,19,54
,,,,,
2_2,-1,29,0,-16,62
,-1,60,1,-15,86
,-1,103,2,-14,70
,-1,138,3,-13,42
,-1,159,4,-12,56
,-1,187,5,-11,102
,-1,238,6,-10,64
,-1,270,7,-9,26
,-1,283,8,-8,50
,-1,308,9,-7,46
,-1,331,10,-6,54
,-1,358,11,-5,90
,-1,403,12,-4,206
,-1,506,13,-3,66
,-1,539,14,-2,48
,-1,563,15,-1,34
,-1,580,16,0,
,0,613,17,,
,1,648,18,0,
,1,683,19,1,70
,1,706,20,2,46
,1,738,21,3,64
,1,785,22,4,94
,1,811,23,5,52
,1,870,24,6,118
,1,891,25,7,42
,1,924,26,8,66
,1,964,27,9,80
