No,Index,Frame,Age,Div_Age,Generation_time
3_1,-1,41,0,-12,78
,-1,80,1,-11,94
,-1,127,2,-10,100
,-1,177,3,-9,80
,-1,217,4,-8,86
,-1,260,5,-7,96
,-1,308,6,-6,50
,-1,333,7,-5,110
,-1,388,8,-4,106
,-1,441,9,-3,76
,-1,479,10,-2,102
,-1,530,11,-1,84
,-1,572,12,0,
,1,624,13,0,
,1,679,14,1,110
,1,750,15,2,142
,1,809,16,3,118
,1,847,17,4,76
,1,905,18,5,116
,1,946,19,6,82
,1,976,20,7,60
,,,,,
3_2,-1,17,0,-12,100
,-1,67,1,-11,70
,-1,102,2,-10,108
,-1,156,3,-9,72
,-1,192,4,-8,98
,-1,241,5,-7,102
,-1,292,6,-6,150
,-1,367,7,-5,60
,-1,397,8,-4,56
,-1,425,9,-3,78
,-1,464,10,-2,104
,-1,516,11,-1,100
,-1,566,12,0,
,0,608,13,0,
,1,647,14,0,
,1,687,15,1,80
,1,743,16,2,112
,1,805,17,3,124
,1,820,18,4,30
,1,842,19,5,44
,1,869,20,6,54
,1,902,21,7,66
,1,953,22,8,102
,,,,,
3_3,-1,48,0,-11,62
,-1,79,1,-10,80
,-1,119,2,-9,82
,-1,160,3,-8,210
,-1,265,4,-7,86
,-1,308,5,-6,46
,-1,331,6,-5,42
,-1,352,7,-4,56
,-1,380,8,-3,72
,-1,416,9,-2,180
,-1,506,10,-1,96
,-1,554,11,0,
,0,611,12,0,
,1,648,13,0,
,1,707,14,1,118
,1,759,15,2,104
,1,791,16,3,64
,1,824,17,4,66
,1,865,18,5,82
,1,917,19,6,104
,1,953,20,7,72
,1,1021,21,8,136
,1,1073,22,9,104
,1,1112,23,10,78
,1,1182,24,11,140
,,,,,
4_1,-1,21,0,-16,82
,-1,62,1,-15,80
,-1,102,2,-14,58
,-1,131,3,-13,70
,-1,166,4,-12,64
,-1,198,5,-11,82
,-1,239,6,-10,54
,-1,266,7,-9,60
,-1,296,8,-8,90
,-1,341,9,-7,44
,-1,363,10,-6,62
,-1,394,11,-5,80
,-1,434,12,-4,80
,-1,474,13,-3,76
,-1,512,14,-2,102
,-1,563,15,-1,66
,-1,596,16,0,
,1,628,17,0,
,1,683,18,1,110
,1,723,19,2,80
,1,768,20,3,90
,1,787,21,4,38
,1,815,22,5,56
,1,853,23,6,76
,1,915,24,7,124
,1,1003,25,8,176
,1,1090,26,9,174
,1,1161,27,10,142
,,,,,
5_1,-1,12,0,-14,58
,-1,41,1,-13,70
,-1,76,2,-12,90
,-1,121,3,-11,78
,-1,160,4,-10,84
,-1,202,5,-9,50
,-1,227,6,-8,58
,-1,256,7,-7,58
,-1,285,8,-6,88
,-1,329,9,-5,102
,-1,380,10,-4,94
,-1,427,11,-3,130
,-1,492,12,-2,68
,-1,526,13,-1,78
,-1,565,14,0,
,0,604,15,0,
,1,694,16,0,
,1,750,17,1,112
,1,794,18,2,88
,1,841,19,3,94
,1,878,20,4,74
,1,911,21,5,66
,1,939,22,6,56
,1,984,23,7,90
,1,1020,24,8,72
,1,1058,25,9,76
,,,,,
5_2,-1,14,0,-14,118
,-1,73,1,-13,68
,-1,107,2,-12,76
,-1,145,3,-11,70
,-1,180,4,-10,54
,-1,207,5,-9,68
,-1,241,6,-8,116
,-1,299,7,-7,52
,-1,325,8,-6,74
,-1,362,9,-5,90
,-1,407,10,-4,92
,-1,453,11,-3,114
,-1,510,12,-2,100
,-1,560,13,-1,78
,-1,599,14,0,
,1,644,15,0,
,1,685,16,1,82
,1,726,17,2,82
,1,760,18,3,68
,1,786,19,4,52
,1,821,20,5,70
,1,859,21,6,76
,1,898,22,7,78
,1,951,23,8,106
,1,992,24,9,82
,1,1020,25,10,56
,1,1056,26,11,72
,,,,,
5_3,-1,19,0,-13,84
,-1,61,1,-12,74
,-1,98,2,-11,152
,-1,174,3,-10,100
,-1,224,4,-9,50
,-1,249,5,-8,116
,-1,307,6,-7,66
,-1,340,7,-6,100
,-1,390,8,-5,44
,-1,412,9,-4,86
,-1,455,10,-3,66
