 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_TxRed:0126-0271-0050:Pos5-2_z0216_c0002,519,430.432,50.108,269.615,126,1,2,427.365
2,ori_TxRed:0125-0242-0049:Pos5-2_z0215_c0002,539,430.301,49.818,242.434,125,0,3,427.045
3,ori_TxRed:0124-0235-0049:Pos5-2_z0214_c0002,486,429.045,49.877,234.823,124,0,4,427.620
4,ori_TxRed:0123-0233-0050:Pos5-2_z0213_c0002,459,429.754,49.910,232.144,123,0,5,427.609
5,ori_TxRed:0122-0225-0050:Pos5-2_z0212_c0002,424,428.422,49.757,224.320,122,0,6,428.072
6,ori_TxRed:0121-0219-0050:Pos5-2_z0211_c0002,388,429.528,49.841,219.282,121,0,7,428.190
7,ori_TxRed:0120-0230-0050:Pos5-2_z0210_c0002,620,430.647,50.297,228.934,120,0,8,427.695
8,ori_TxRed:0119-0229-0050:Pos5-2_z0209_c0002,580,429.374,49.999,227.962,119,0,9,427.597
9,ori_TxRed:0118-0227-0050:Pos5-2_z0208_c0002,556,427.874,50.328,227.088,118,0,10,427.679
10,ori_TxRed:0117-0225-0050:Pos5-2_z0207_c0002,552,429.676,50.057,224.839,117,0,11,427.276
11,ori_TxRed:0116-0223-0050:Pos5-2_z0206_c0002,485,430.357,50.348,223.359,116,0,12,428.089
12,ori_TxRed:0115-0222-0050:Pos5-2_z0205_c0002,463,430.914,50.116,222.101,115,0,13,427.502
13,ori_TxRed:0114-0201-0051:Pos5-2_z0204_c0002,374,430.316,50.829,200.503,114,0,14,427.395
14,ori_TxRed:0113-0173-0052:Pos5-2_z0203_c0002,690,429.729,51.303,172.820,113,0,15,427.601
15,ori_TxRed:0112-0163-0052:Pos5-2_z0202_c0002,598,428.527,51.590,163.401,112,0,16,427.927
16,ori_TxRed:0111-0165-0052:Pos5-2_z0201_c0002,564,428.090,51.624,164.759,111,0,17,427.996
17,ori_TxRed:0110-0166-0052:Pos5-2_z0200_c0002,537,429.298,51.286,167.558,110,0,18,427.926
18,ori_TxRed:0109-0167-0051:Pos5-2_z0199_c0002,471,427.834,50.896,167.952,109,0,19,427.970
19,ori_TxRed:0108-0165-0051:Pos5-2_z0198_c0002,383,428.768,50.938,165.507,108,0,20,428.161
20,ori_TxRed:0107-0178-0050:Pos5-2_z0197_c0002,693,429.795,50.009,178.931,107,0,21,428.024
21,ori_TxRed:0106-0176-0049:Pos5-2_z0196_c0002,634,430.688,49.728,175.491,106,0,22,427.423
22,ori_TxRed:0105-0173-0049:Pos5-2_z0195_c0002,589,429.407,49.216,172.724,105,0,23,428.233
23,ori_TxRed:0104-0169-0050:Pos5-2_z0194_c0002,552,429.120,50.054,168.972,104,0,24,427.974
24,ori_TxRed:0103-0166-0050:Pos5-2_z0193_c0002,523,429.338,50.142,166.758,103,0,25,427.867
25,ori_TxRed:0102-0167-0050:Pos5-2_z0192_c0002,444,428.671,50.356,167.134,102,0,26,427.656
26,ori_TxRed:0101-0171-0050:Pos5-2_z0191_c0002,431,427.780,49.810,170.445,101,0,27,427.187
27,ori_TxRed:0100-0166-0049:Pos5-2_z0190_c0002,404,426.834,49.876,165.955,100,0,28,427.751
28,ori_TxRed:0099-0174-0050:Pos5-2_z0189_c0002,677,428.165,49.725,173.736,99,0,29,427.961
29,ori_TxRed:0098-0172-0050:Pos5-2_z0188_c0002,630,429.019,50.017,172.017,98,0,30,428.049
30,ori_TxRed:0097-0164-0051:Pos5-2_z0187_c0002,551,428.619,50.370,163.820,97,0,31,427.215
31,ori_TxRed:0096-0164-0051:Pos5-2_z0186_c0002,533,428.959,50.465,164.257,96,0,32,427.548
32,ori_TxRed:0095-0162-0051:Pos5-2_z0185_c0002,480,427.983,50.725,161.464,95,0,33,427.327
33,ori_TxRed:0094-0160-0051:Pos5-2_z0184_c0002,448,428.616,50.995,159.613,94,0,34,427.117
34,ori_TxRed:0093-0160-0051:Pos5-2_z0183_c0002,432,426.824,51.100,159.785,93,0,35,427.467
35,ori_TxRed:0092-0157-0050:Pos5-2_z0182_c0002,415,429.908,50.829,158.003,92,0,36,427.804
36,ori_TxRed:0091-0158-0050:Pos5-2_z0181_c0002,383,429.198,51.041,157.868,91,0,37,427.532
37,ori_TxRed:0090-0158-0053:Pos5-2_z0180_c0002,355,427.397,52.928,157.801,90,0,38,427.769
38,ori_TxRed:0089-0157-0053:Pos5-2_z0179_c0002,313,428.658,53.118,157.537,89,0,39,427.471
39,ori_TxRed:0088-0171-0049:Pos5-2_z0178_c0002,550,429.436,49.317,171.615,88,0,40,427.534
40,ori_TxRed:0087-0165-0051:Pos5-2_z0177_c0002,564,428.298,50.452,164.428,87,0,41,427.934
41,ori_TxRed:0086-0162-0051:Pos5-2_z0176_c0002,507,428.688,50.859,162.569,86,0,42,427.795
42,ori_TxRed:0085-0161-0051:Pos5-2_z0175_c0002,458,430.502,51.127,161.203,85,0,43,428.092
43,ori_TxRed:0084-0160-0051:Pos5-2_z0174_c0002,464,430.284,50.943,160.665,84,0,44,427.655
44,ori_TxRed:0083-0162-0051:Pos5-2_z0173_c0002,432,429.356,50.581,162.418,83,0,45,427.151
45,ori_TxRed:0082-0159-0052:Pos5-2_z0172_c0002,374,429.332,52.416,159.831,82,0,46,427.565
46,ori_TxRed:0081-0159-0052:Pos5-2_z0171_c0002,390,429.772,52.316,158.935,81,0,47,427.635
47,ori_TxRed:0080-0172-0050:Pos5-2_z0170_c0002,699,429.884,49.724,171.807,80,0,48,427.582
48,ori_TxRed:0079-0172-0050:Pos5-2_z0169_c0002,628,428.115,49.773,171.823,79,0,49,427.696
49,ori_TxRed:0078-0170-0050:Pos5-2_z0168_c0002,578,429.941,49.950,170.480,78,0,50,427.620
50,ori_TxRed:0077-0170-0051:Pos5-2_z0167_c0002,548,442.825,50.472,170.345,77,0,51,439.440
51,ori_TxRed:0076-0168-0051:Pos5-2_z0166_c0002,499,429.749,50.657,168.099,76,0,52,427.623
52,ori_TxRed:0075-0170-0051:Pos5-2_z0165_c0002,451,429.823,50.782,169.578,75,0,53,428.385
53,ori_TxRed:0074-0164-0052:Pos5-2_z0164_c0002,401,431.047,51.827,164.635,74,0,54,427.792
54,ori_TxRed:0073-0179-0051:Pos5-2_z0163_c0002,739,432.157,50.201,179.444,73,0,55,428.288
55,ori_TxRed:0072-0177-0049:Pos5-2_z0162_c0002,658,431.646,48.743,177.669,72,0,56,427.715
56,ori_TxRed:0071-0172-0050:Pos5-2_z0161_c0002,620,434.574,49.417,172.929,71,0,57,428.461
57,ori_TxRed:0070-0171-0050:Pos5-2_z0160_c0002,574,433.441,49.444,172.100,70,0,58,428.721
58,ori_TxRed:0069-0171-0050:Pos5-2_z0159_c0002,525,432.411,49.840,171.839,69,0,59,428.132
59,ori_TxRed:0068-0178-0051:Pos5-2_z0158_c0002,472,434.100,50.881,178.876,68,0,60,427.908
60,ori_TxRed:0067-0175-0051:Pos5-2_z0157_c0002,451,436.350,51.307,175.846,67,0,61,427.964
61,ori_TxRed:0066-0149-0050:Pos5-2_z0156_c0002,792,436.540,49.021,150.414,66,0,62,428.409
62,ori_TxRed:0065-0145-0047:Pos5-2_z0155_c0002,694,437.195,46.865,146.954,65,0,63,428.518
63,ori_TxRed:0064-0143-0047:Pos5-2_z0154_c0002,682,437.161,46.851,144.018,64,0,64,428.021
64,ori_TxRed:0063-0143-0047:Pos5-2_z0153_c0002,649,440.941,46.930,143.896,63,0,65,430.880
65,ori_TxRed:0062-0143-0048:Pos5-2_z0152_c0002,629,438.293,48.290,144.403,62,0,66,428.610
66,ori_TxRed:0061-0148-0050:Pos5-2_z0151_c0002,862,440.905,50.029,149.700,61,0,67,429.442
67,ori_TxRed:0060-0146-0050:Pos5-2_z0150_c0002,825,443.479,50.186,148.230,60,0,68,429.325
68,ori_TxRed:0059-0144-0050:Pos5-2_z0149_c0002,726,446.197,49.724,145.545,59,0,69,430.489
69,ori_TxRed:0058-0148-0050:Pos5-2_z0148_c0002,714,445.262,50.240,148.603,58,0,70,431.336
70,ori_TxRed:0057-0145-0050:Pos5-2_z0147_c0002,664,448.604,50.035,145.689,57,0,71,431.586
71,ori_TxRed:0056-0143-0050:Pos5-2_z0146_c0002,610,450.175,50.063,143.845,56,0,72,432.167
72,ori_TxRed:0055-0160-0050:Pos5-2_z0145_c0002,920,456.802,49.906,159.935,55,0,73,432.070
73,ori_TxRed:0054-0157-0050:Pos5-2_z0144_c0002,864,460.650,49.889,158.103,54,0,74,431.733
74,ori_TxRed:0053-0151-0050:Pos5-2_z0143_c0002,795,466.536,50.318,151.574,53,0,75,431.470
75,ori_TxRed:0052-0146-0050:Pos5-2_z0142_c0002,710,475.659,50.210,147.798,52,0,76,433.472
76,ori_TxRed:0051-0145-0050:Pos5-2_z0141_c0002,653,478.923,50.023,146.688,51,0,77,433.672
77,ori_TxRed:0050-0142-0050:Pos5-2_z0140_c0002,628,485.486,50.131,143.104,50,0,78,433.382
78,ori_TxRed:0049-0141-0050:Pos5-2_z0139_c0002,501,494.120,50.271,141.841,49,0,79,433.737
79,ori_TxRed:0048-0141-0047:Pos5-2_z0138_c0002,534,493.197,47.684,142.376,48,0,80,433.472
80,ori_TxRed:0047-0154-0053:Pos5-2_z0137_c0002,533,500.281,53.325,153.697,47,0,81,433.448
81,ori_TxRed:0046-0165-0050:Pos5-2_z0136_c0002,821,518.698,51.748,165.523,46,0,82,433.339
82,ori_TxRed:0045-0162-0049:Pos5-2_z0135_c0002,772,527.465,50.869,162.828,45,0,83,434.089
83,ori_TxRed:0044-0157-0051:Pos5-2_z0134_c0002,756,531.921,51.541,156.844,44,0,84,434.554
84,ori_TxRed:0043-0149-0051:Pos5-2_z0133_c0002,661,546.189,51.612,149.407,43,0,85,434.955
85,ori_TxRed:0042-0146-0050:Pos5-2_z0132_c0002,606,551.554,51.295,146.273,42,0,86,435.490
86,ori_TxRed:0041-0141-0050:Pos5-2_z0131_c0002,543,559.978,51.494,141.681,41,0,87,436.053
87,ori_TxRed:0040-0139-0052:Pos5-2_z0130_c0002,524,561.181,52.045,138.952,40,0,88,436.192
88,ori_TxRed:0039-0139-0054:Pos5-2_z0129_c0002,489,561.127,54.644,139.921,39,0,89,437.115
89,ori_TxRed:0038-0138-0053:Pos5-2_z0128_c0002,438,564.235,54.599,138.818,38,0,90,437.458
90,ori_TxRed:0037-0148-0051:Pos5-2_z0127_c0002,723,602.972,51.458,148.802,37,0,91,438.092
91,ori_TxRed:0036-0146-0051:Pos5-2_z0126_c0002,651,608.041,51.800,146.130,36,0,92,438.367
92,ori_TxRed:0035-0144-0051:Pos5-2_z0125_c0002,613,607.548,51.382,145.002,35,0,93,437.826
93,ori_TxRed:0034-0140-0050:Pos5-2_z0124_c0002,497,11873.946,50.152,141.856,34,0,94,12072.602
94,ori_TxRed:0033-0137-0051:Pos5-2_z0123_c0002,475,11905.933,51.407,138.858,33,0,95,12078.571
95,ori_TxRed:0032-0137-0051:Pos5-2_z0122_c0002,414,11875.601,51.297,138.345,32,0,96,12087.004
96,ori_TxRed:0031-0149-0052:Pos5-2_z0121_c0002,498,569.532,52.219,150.033,31,0,97,435.413
97,ori_TxRed:0030-0141-0055:Pos5-2_z0120_c0002,451,584.377,55.214,141.376,30,0,98,436.621
98,ori_TxRed:0029-0147-0050:Pos5-2_z0119_c0002,605,591.660,51.223,148.281,29,0,99,437.161
99,ori_TxRed:0028-0141-0051:Pos5-2_z0118_c0002,545,592.571,51.191,142.347,28,0,100,438.139
100,ori_TxRed:0027-0141-0051:Pos5-2_z0117_c0002,549,577.674,51.087,141.150,27,0,101,437.627
101,ori_TxRed:0026-0141-0052:Pos5-2_z0116_c0002,503,581.588,51.210,140.919,26,0,102,437.703
102,ori_TxRed:0025-0140-0051:Pos5-2_z0115_c0002,481,590.245,51.262,140.458,25,0,103,438.206
103,ori_TxRed:0024-0138-0052:Pos5-2_z0114_c0002,420,595.431,51.448,137.875,24,0,104,437.141
104,ori_TxRed:0023-0133-0054:Pos5-2_z0113_c0002,403,590.993,54.524,134.007,23,0,105,436.763
105,ori_TxRed:0022-0133-0055:Pos5-2_z0112_c0002,354,599.466,55.315,134.395,22,0,106,438.139
106,ori_TxRed:0021-0132-0055:Pos5-2_z0111_c0002,319,611.376,55.671,132.127,21,0,107,437.697
107,ori_TxRed:0020-0140-0051:Pos5-2_z0110_c0002,535,631.626,51.431,140.564,20,0,108,437.665
108,ori_TxRed:0019-0139-0052:Pos5-2_z0109_c0002,460,630.707,51.656,138.743,19,0,109,437.315
109,ori_TxRed:0018-0137-0052:Pos5-2_z0108_c0002,434,635.180,51.393,137.309,18,0,110,438.092
110,ori_TxRed:0017-0137-0052:Pos5-2_z0107_c0002,425,635.184,51.331,137.891,17,0,111,438.166
111,ori_TxRed:0016-0136-0052:Pos5-2_z0106_c0002,374,631.620,51.624,137.244,16,0,112,438.101
112,ori_TxRed:0015-0134-0052:Pos5-2_z0105_c0002,362,636.486,51.383,134.829,15,0,113,438.635
113,ori_TxRed:0014-0134-0052:Pos5-2_z0104_c0002,352,625.909,51.569,134.796,14,0,114,438.580
114,ori_TxRed:0013-0135-0051:Pos5-2_z0103_c0002,311,637.588,51.481,135.249,13,0,115,437.806
115,ori_TxRed:0012-0134-0054:Pos5-2_z0102_c0002,340,617.421,54.936,135.006,12,0,116,437.215
116,ori_TxRed:0011-0140-0051:Pos5-2_z0101_c0002,577,644.562,51.163,140.546,11,0,117,436.466
117,ori_TxRed:0010-0139-0052:Pos5-2_z0100_c0002,527,642.226,51.523,139.018,10,0,118,437.487
118,ori_TxRed:0009-0136-0052:Pos5-2_z0099_c0002,476,640.796,51.725,137.004,9,0,119,439.500
119,ori_TxRed:0008-0136-0052:Pos5-2_z0098_c0002,458,639.821,51.719,137.018,8,0,120,439.329
120,ori_TxRed:0007-0136-0052:Pos5-2_z0097_c0002,440,632.164,51.672,136.427,7,0,121,437.537
121,ori_TxRed:0006-0136-0052:Pos5-2_z0096_c0002,414,616.174,51.670,136.620,6,0,122,438.367
122,ori_TxRed:0005-0137-0051:Pos5-2_z0095_c0002,379,619.530,51.338,137.681,5,0,123,437.642
123,ori_TxRed:0004-0136-0051:Pos5-2_z0094_c0002,378,621.048,51.511,135.961,4,0,124,436.730
124,ori_TxRed:0003-0135-0051:Pos5-2_z0093_c0002,352,625.787,51.357,135.647,3,0,125,437.821
125,ori_TxRed:0002-0135-0051:Pos5-2_z0092_c0002,333,621.024,51.088,135.496,2,0,126,436.482
126,ori_TxRed:0001-0133-0056:Pos5-2_z0091_c0002,317,611.394,56.002,134.289,1,0,0,437.011
