 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_ph:0170-0266-0069:Pos2-1_z0260_c0001,423,951.676,68.958,267.143,170,1,2,694.643
2,ori_ph:0169-0267-0070:Pos2-1_z0259_c0001,485,990.940,70.529,268.389,169,0,3,691.886
3,ori_ph:0168-0266-0070:Pos2-1_z0258_c0001,458,996.288,70.507,267.346,168,0,4,696.719
4,ori_ph:0167-0263-0069:Pos2-1_z0257_c0001,397,967.358,70.479,263.507,167,0,5,701.849
5,ori_ph:0166-0267-0069:Pos2-1_z0256_c0001,624,972.255,69.418,268.905,166,0,6,701.446
6,ori_ph:0165-0259-0070:Pos2-1_z0255_c0001,524,923.865,70.004,261.612,165,0,7,697.827
7,ori_ph:0164-0256-0069:Pos2-1_z0254_c0001,458,876.277,69.486,256.297,164,0,8,700.447
8,ori_ph:0163-0254-0069:Pos2-1_z0253_c0001,464,880.399,69.504,256.026,163,0,9,699.840
9,ori_ph:0162-0252-0068:Pos2-1_z0252_c0001,466,889.687,69.272,255.170,162,0,10,700.414
10,ori_ph:0161-0247-0069:Pos2-1_z0251_c0001,408,795.037,69.291,247.551,161,0,11,699.929
11,ori_ph:0160-0217-0069:Pos2-1_z0250_c0001,428,650.696,69.099,218.230,160,0,12,702.286
12,ori_ph:0159-0215-0069:Pos2-1_z0249_c0001,424,649.682,69.264,216.319,159,0,13,701.500
13,ori_ph:0158-0214-0068:Pos2-1_z0248_c0001,402,646.532,68.860,215.181,158,0,14,700.295
14,ori_ph:0157-0211-0069:Pos2-1_z0247_c0001,330,633.358,69.073,211.326,157,0,15,702.097
15,ori_ph:0156-0213-0069:Pos2-1_z0246_c0001,594,655.500,69.401,214.239,156,0,16,699.566
16,ori_ph:0155-0209-0069:Pos2-1_z0245_c0001,568,636.792,69.253,210.164,155,0,17,698.620
17,ori_ph:0154-0206-0069:Pos2-1_z0244_c0001,569,631.807,69.517,206.618,154,0,18,700.089
18,ori_ph:0153-0196-0069:Pos2-1_z0243_c0001,515,621.816,68.859,196.702,153,0,19,699.530
19,ori_ph:0152-0192-0069:Pos2-1_z0242_c0001,435,615.363,68.989,192.636,152,0,20,700.375
20,ori_ph:0151-0191-0069:Pos2-1_z0241_c0001,415,623.080,68.947,191.517,151,0,21,701.177
21,ori_ph:0150-0191-0069:Pos2-1_z0240_c0001,411,619.905,68.977,191.169,150,0,22,700.984
22,ori_ph:0149-0190-0069:Pos2-1_z0239_c0001,371,621.507,68.769,190.141,149,0,23,699.389
23,ori_ph:0148-0186-0069:Pos2-1_z0238_c0001,377,622.218,68.735,185.060,148,0,24,700.281
24,ori_ph:0147-0185-0069:Pos2-1_z0237_c0001,355,619.890,68.436,182.853,147,0,25,697.066
25,ori_ph:0146-0181-0069:Pos2-1_z0236_c0001,318,615.657,68.946,179.975,146,0,26,700.735
26,ori_ph:0145-0198-0069:Pos2-1_z0235_c0001,733,638.417,69.079,198.896,145,0,27,699.082
27,ori_ph:0144-0196-0069:Pos2-1_z0234_c0001,659,634.511,69.053,197.509,144,0,28,698.997
28,ori_ph:0143-0195-0069:Pos2-1_z0233_c0001,640,630.709,68.954,195.417,143,0,29,698.617
29,ori_ph:0142-0193-0070:Pos2-1_z0232_c0001,612,634.175,69.501,192.842,142,0,30,700.049
30,ori_ph:0141-0191-0070:Pos2-1_z0231_c0001,562,627.836,69.436,191.220,141,0,31,699.533
31,ori_ph:0140-0189-0070:Pos2-1_z0230_c0001,532,628.410,69.066,188.985,140,0,32,698.864
32,ori_ph:0139-0186-0069:Pos2-1_z0229_c0001,495,630.214,68.888,186.528,139,0,33,699.330
33,ori_ph:0138-0182-0068:Pos2-1_z0228_c0001,461,625.360,68.597,181.503,138,0,34,697.087
34,ori_ph:0137-0175-0069:Pos2-1_z0227_c0001,376,618.686,68.378,175.628,137,0,35,701.838
35,ori_ph:0136-0173-0068:Pos2-1_z0226_c0001,362,618.765,68.420,174.136,136,0,36,698.293
36,ori_ph:0135-0172-0069:Pos2-1_z0225_c0001,333,618.441,68.746,172.395,135,0,37,698.651
37,ori_ph:0134-0171-0068:Pos2-1_z0224_c0001,334,617.602,68.735,171.703,134,0,38,700.719
38,ori_ph:0133-0167-0068:Pos2-1_z0223_c0001,288,615.340,68.332,167.555,133,0,39,698.602
39,ori_ph:0132-0165-0067:Pos2-1_z0222_c0001,261,605.724,68.074,165.056,132,0,40,700.182
40,ori_ph:0131-0178-0068:Pos2-1_z0221_c0001,547,610.587,68.839,178.803,131,0,41,698.703
41,ori_ph:0130-0175-0068:Pos2-1_z0220_c0001,484,606.919,68.552,175.644,130,0,42,699.257
42,ori_ph:0129-0172-0069:Pos2-1_z0219_c0001,431,604.248,68.774,173.068,129,0,43,700.349
43,ori_ph:0128-0171-0068:Pos2-1_z0218_c0001,423,597.125,68.573,171.622,128,0,44,696.609
44,ori_ph:0127-0169-0068:Pos2-1_z0217_c0001,407,602.219,68.583,169.659,127,0,45,700.737
45,ori_ph:0126-0166-0068:Pos2-1_z0216_c0001,324,598.716,68.360,166.609,126,0,46,697.482
46,ori_ph:0125-0164-0068:Pos2-1_z0215_c0001,327,596.615,68.450,164.415,125,0,47,699.139
47,ori_ph:0124-0163-0068:Pos2-1_z0214_c0001,261,600.218,68.217,162.394,124,0,48,697.762
48,ori_ph:0123-0172-0069:Pos2-1_z0213_c0001,479,607.182,68.914,172.091,123,0,49,698.000
49,ori_ph:0122-0170-0068:Pos2-1_z0212_c0001,421,605.508,68.648,170.465,122,0,50,698.133
50,ori_ph:0121-0166-0068:Pos2-1_z0211_c0001,397,600.877,67.847,165.711,121,0,51,699.691
51,ori_ph:0120-0164-0068:Pos2-1_z0210_c0001,335,599.776,68.179,164.687,120,0,52,698.167
52,ori_ph:0119-0160-0067:Pos2-1_z0209_c0001,330,599.721,67.835,160.149,119,0,53,697.309
53,ori_ph:0118-0156-0067:Pos2-1_z0208_c0001,312,596.288,67.903,156.488,118,0,54,698.981
54,ori_ph:0117-0151-0069:Pos2-1_z0207_c0001,247,594.012,68.639,152.256,117,0,55,699.304
55,ori_ph:0116-0135-0070:Pos2-1_z0206_c0001,488,581.350,70.043,136.099,116,0,56,695.885
56,ori_ph:0115-0133-0070:Pos2-1_z0205_c0001,465,582.258,70.375,133.170,115,0,57,698.011
57,ori_ph:0114-0131-0071:Pos2-1_z0204_c0001,420,585.326,71.084,130.848,114,0,58,699.468
58,ori_ph:0113-0129-0069:Pos2-1_z0203_c0001,342,587.713,69.103,129.480,113,0,59,696.931
59,ori_ph:0112-0155-0068:Pos2-1_z0202_c0001,841,595.139,68.496,155.433,112,0,60,699.381
60,ori_ph:0111-0156-0068:Pos2-1_z0201_c0001,805,589.443,68.573,156.679,111,0,61,697.340
61,ori_ph:0110-0157-0068:Pos2-1_z0200_c0001,786,595.608,68.615,157.098,110,0,62,697.417
62,ori_ph:0109-0153-0068:Pos2-1_z0199_c0001,643,596.356,68.054,153.444,109,0,63,697.903
63,ori_ph:0108-0151-0068:Pos2-1_z0198_c0001,597,592.707,68.191,150.565,108,0,64,697.310
64,ori_ph:0107-0134-0066:Pos2-1_z0197_c0001,905,585.973,67.269,132.487,107,0,65,698.847
65,ori_ph:0106-0134-0066:Pos2-1_z0196_c0001,916,584.897,67.288,132.496,106,0,66,698.204
66,ori_ph:0105-0157-0067:Pos2-1_z0195_c0001,1412,596.576,67.846,158.154,105,0,67,697.726
67,ori_ph:0104-0153-0066:Pos2-1_z0194_c0001,1228,593.612,67.716,152.075,104,0,68,698.926
68,ori_ph:0103-0149-0066:Pos2-1_z0193_c0001,1095,589.975,67.256,148.325,103,0,69,696.916
69,ori_ph:0102-0146-0066:Pos2-1_z0192_c0001,1035,590.700,67.264,146.174,102,0,70,698.277
70,ori_ph:0101-0145-0066:Pos2-1_z0191_c0001,1067,598.484,67.547,144.413,101,0,71,696.202
71,ori_ph:0100-0141-0066:Pos2-1_z0190_c0001,1013,590.793,67.159,141.152,100,0,72,697.295
72,ori_ph:0099-0139-0066:Pos2-1_z0189_c0001,933,588.809,67.399,137.688,99,0,73,694.514
73,ori_ph:0098-0135-0066:Pos2-1_z0188_c0001,910,590.122,67.042,134.787,98,0,74,696.844
74,ori_ph:0097-0134-0066:Pos2-1_z0187_c0001,962,588.755,67.535,135.088,97,0,75,698.821
75,ori_ph:0096-0131-0066:Pos2-1_z0186_c0001,942,592.831,67.228,132.357,96,0,76,697.218
76,ori_ph:0095-0130-0067:Pos2-1_z0185_c0001,861,588.607,67.420,131.043,95,0,77,698.756
77,ori_ph:0094-0130-0066:Pos2-1_z0184_c0001,848,589.124,67.190,131.086,94,0,78,696.330
78,ori_ph:0093-0132-0066:Pos2-1_z0183_c0001,878,598.252,67.520,133.391,93,0,79,697.046
79,ori_ph:0092-0129-0066:Pos2-1_z0182_c0001,836,593.077,67.171,129.833,92,0,80,696.628
80,ori_ph:0091-0128-0066:Pos2-1_z0181_c0001,813,593.502,67.022,127.917,91,0,81,697.018
81,ori_ph:0090-0128-0067:Pos2-1_z0180_c0001,811,592.707,67.459,128.571,90,0,82,698.715
82,ori_ph:0089-0128-0066:Pos2-1_z0179_c0001,783,591.876,67.464,128.882,89,0,83,697.087
83,ori_ph:0088-0128-0066:Pos2-1_z0178_c0001,747,597.224,67.809,126.501,88,0,84,697.869
84,ori_ph:0087-0129-0066:Pos2-1_z0177_c0001,796,600.033,67.321,127.985,87,0,85,700.044
85,ori_ph:0086-0127-0066:Pos2-1_z0176_c0001,730,601.670,67.343,126.096,86,0,86,697.581
86,ori_ph:0085-0127-0066:Pos2-1_z0175_c0001,806,606.986,67.461,126.983,85,0,87,696.203
87,ori_ph:0084-0127-0066:Pos2-1_z0174_c0001,693,599.658,67.421,125.544,84,0,88,697.670
88,ori_ph:0083-0126-0066:Pos2-1_z0173_c0001,728,602.424,67.373,126.865,83,0,89,698.652
89,ori_ph:0082-0126-0066:Pos2-1_z0172_c0001,709,605.282,67.326,125.764,82,0,90,696.816
90,ori_ph:0081-0127-0067:Pos2-1_z0171_c0001,717,601.297,67.303,126.914,81,0,91,698.204
91,ori_ph:0080-0126-0067:Pos2-1_z0170_c0001,670,600.601,67.291,126.325,80,0,92,697.909
92,ori_ph:0079-0126-0067:Pos2-1_z0169_c0001,703,604.442,67.471,127.165,79,0,93,696.906
93,ori_ph:0078-0127-0067:Pos2-1_z0168_c0001,697,607.165,67.236,127.279,78,0,94,697.178
94,ori_ph:0077-0127-0067:Pos2-1_z0167_c0001,670,607.031,67.708,127.571,77,0,95,698.091
95,ori_ph:0076-0127-0067:Pos2-1_z0166_c0001,685,607.647,67.464,127.503,76,0,96,698.438
96,ori_ph:0075-0127-0067:Pos2-1_z0165_c0001,606,603.741,67.765,127.249,75,0,97,699.304
97,ori_ph:0074-0128-0066:Pos2-1_z0164_c0001,604,605.974,67.218,127.425,74,0,98,694.833
98,ori_ph:0073-0127-0066:Pos2-1_z0163_c0001,595,606.071,67.169,127.024,73,0,99,695.900
99,ori_ph:0072-0127-0067:Pos2-1_z0162_c0001,627,609.470,67.796,127.573,72,0,100,698.559
100,ori_ph:0071-0127-0066:Pos2-1_z0161_c0001,570,604.737,67.295,126.672,71,0,101,698.855
101,ori_ph:0070-0125-0065:Pos2-1_z0160_c0001,487,598.842,66.466,122.231,70,0,102,698.263
102,ori_ph:0069-0123-0066:Pos2-1_z0159_c0001,514,597.625,66.898,122.077,69,0,103,702.844
103,ori_ph:0068-0124-0066:Pos2-1_z0158_c0001,456,600.217,66.458,121.278,68,0,104,697.211
104,ori_ph:0067-0124-0066:Pos2-1_z0157_c0001,446,601.339,66.632,121.868,67,0,105,697.916
105,ori_ph:0066-0126-0065:Pos2-1_z0156_c0001,486,596.142,66.294,123.909,66,0,106,694.890
106,ori_ph:0065-0120-0065:Pos2-1_z0155_c0001,423,594.118,66.304,118.222,65,0,107,698.456
107,ori_ph:0064-0133-0066:Pos2-1_z0154_c0001,675,604.270,67.216,131.320,64,0,108,696.880
108,ori_ph:0063-0132-0066:Pos2-1_z0153_c0001,638,601.071,66.769,131.048,63,0,109,696.824
109,ori_ph:0062-0133-0065:Pos2-1_z0152_c0001,630,602.768,66.862,130.857,62,0,110,698.654
110,ori_ph:0061-0132-0066:Pos2-1_z0151_c0001,585,604.053,67.003,130.363,61,0,111,696.951
111,ori_ph:0060-0130-0065:Pos2-1_z0150_c0001,572,602.166,66.601,127.131,60,0,112,696.900
112,ori_ph:0059-0127-0065:Pos2-1_z0149_c0001,561,607.893,66.401,126.063,59,0,113,698.070
113,ori_ph:0058-0126-0065:Pos2-1_z0148_c0001,562,602.311,66.188,125.025,58,0,114,697.050
114,ori_ph:0057-0124-0064:Pos2-1_z0147_c0001,560,595.280,64.859,123.142,57,0,115,700.435
115,ori_ph:0056-0125-0064:Pos2-1_z0146_c0001,543,601.011,64.990,124.165,56,0,116,698.419
116,ori_ph:0055-0125-0065:Pos2-1_z0145_c0001,535,597.834,65.197,124.590,55,0,117,697.464
117,ori_ph:0054-0122-0068:Pos2-1_z0144_c0001,502,613.147,69.139,121.838,54,0,118,698.629
118,ori_ph:0053-0121-0068:Pos2-1_z0143_c0001,442,608.041,68.743,119.759,53,0,119,697.990
119,ori_ph:0052-0118-0068:Pos2-1_z0142_c0001,405,602.615,68.582,116.716,52,0,120,697.246
120,ori_ph:0051-0118-0068:Pos2-1_z0141_c0001,414,605.111,68.609,117.533,51,0,121,695.114
121,ori_ph:0050-0118-0065:Pos2-1_z0140_c0001,413,596.206,65.231,116.735,50,0,122,696.615
122,ori_ph:0049-0116-0065:Pos2-1_z0139_c0001,343,598.501,66.117,115.180,49,0,123,696.908
123,ori_ph:0048-0128-0067:Pos2-1_z0138_c0001,602,604.439,68.219,127.254,48,0,124,701.444
124,ori_ph:0047-0127-0067:Pos2-1_z0137_c0001,569,598.791,68.321,126.392,47,0,125,701.821
125,ori_ph:0046-0124-0067:Pos2-1_z0136_c0001,535,602.299,68.312,123.873,46,0,126,701.560
126,ori_ph:0045-0124-0067:Pos2-1_z0135_c0001,500,600.726,67.785,123.368,45,0,127,702.588
127,ori_ph:0044-0125-0066:Pos2-1_z0134_c0001,463,599.747,66.979,123.382,44,0,128,702.954
128,ori_ph:0043-0123-0066:Pos2-1_z0133_c0001,402,602.204,67.137,122.406,43,0,129,703.529
129,ori_ph:0042-0135-0066:Pos2-1_z0132_c0001,696,593.343,66.441,134.089,42,0,130,703.112
