No,Cell,Deleted,dividing,flow away
0,8,2,0,1
1,6,3,0,1
2,8,3,1,0
3,3,0,0,0
4,7,1,1,0
5,7,1,0,1
6,7,0,0,0
8,7,1,0,1
9,5,1,0,0
10,7,3,1,0
11,7,0,0,0
12,6,0,0,0
13,6,1,0,1
14,7,1,1,0
15,8,0,0,0
16,8,3,0,0
17,8,3,1,1
18,8,1,0,0
19,9,3,0,1
20,8,3,1,0
21,6,0,0,0
22,8,2,1,1
23,7,1,1,0
24,6,0,0,0
25,7,1,0,0
26,9,4,0,1
27,9,2,0,0
28,9,3,0,2
29,7,2,1,0
30,7,3,0,1
31,6,2,1,1
32,9,3,0,1
33,9,4,2,0
34,8,0,0,0
35,8,0,0,0
36,8,4,1,1
37,7,3,3,0
38,6,1,0,1
39,8,1,0,1
40,8,3,2,0
41,6,2,1,0
42,5,0,0,0
44,7,1,0,0
47,7,4,3,0
48,8,1,0,0
49,7,1,1,0
50,9,1,0,1
51,9,2,0,0
52,9,2,2,0
53,9,1,1,0
54,9,3,0,3
55,7,1,0,1
56,6,2,0,2
57,6,0,0,0
58,9,1,1,0
59,8,1,0,0
60,7,2,1,0
61,8,1,1,0
62,8,0,0,0
63,7,1,0,0
64,7,2,1,0
65,6,1,1,0
66,7,3,1,0
67,7,1,0,0
68,6,1,0,0
69,4,0,0,0
70,6,1,1,0
