 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_TxRed:0429-0110-0082:initial_folder_20_0428,685,245.432,80.367,114.480,429,1,2,139.019
2,ori_TxRed:0428-0107-0079:initial_folder_20_0427,680,243.909,79.420,109.121,428,0,3,140.700
3,ori_TxRed:0427-0104-0080:initial_folder_20_0426,507,243.884,78.953,103.852,427,0,4,150.495
4,ori_TxRed:0426-0103-0080:initial_folder_20_0425,431,240.297,79.479,101.605,426,0,5,140.360
5,ori_TxRed:0425-0101-0080:initial_folder_20_0424,472,239.138,80.296,101.973,425,0,6,140.293
6,ori_TxRed:0424-0099-0082:initial_folder_20_0423,434,245.300,81.761,97.855,424,0,7,139.934
7,ori_TxRed:0423-0100-0082:initial_folder_20_0422,475,251.737,81.415,100.237,423,0,8,140.699
8,ori_TxRed:0422-0100-0081:initial_folder_20_0421,454,253.846,81.051,101.133,422,0,9,140.148
9,ori_TxRed:0421-0098-0081:initial_folder_20_0420,446,250.052,81.349,98.946,421,0,10,140.065
10,ori_TxRed:0420-0098-0081:initial_folder_20_0419,460,255.159,81.931,99.653,420,0,11,139.573
11,ori_TxRed:0419-0096-0081:initial_folder_20_0418,412,252.451,81.201,96.540,419,0,12,141.276
12,ori_TxRed:0418-0097-0081:initial_folder_20_0417,359,254.097,81.191,97.061,418,0,13,139.338
13,ori_TxRed:0417-0091-0082:initial_folder_20_0416,346,254.393,81.971,92.751,417,0,14,139.776
14,ori_TxRed:0416-0092-0082:initial_folder_20_0415,329,249.869,82.010,92.019,416,0,15,139.567
15,ori_TxRed:0415-0092-0081:initial_folder_20_0414,310,246.816,81.894,92.422,415,0,16,140.465
16,ori_TxRed:0414-0092-0082:initial_folder_20_0413,305,249.079,81.932,92.644,414,0,17,140.305
17,ori_TxRed:0413-0090-0082:initial_folder_20_0412,280,251.275,82.241,91.262,413,0,18,140.652
18,ori_TxRed:0412-0090-0081:initial_folder_20_0411,292,245.801,81.567,90.211,412,0,19,139.665
19,ori_TxRed:0411-0086-0080:initial_folder_20_0410,224,245.491,81.186,87.855,411,0,20,140.844
20,ori_TxRed:0410-0087-0081:initial_folder_20_0409,281,243.406,81.182,89.075,410,0,21,142.404
21,ori_TxRed:0409-0091-0080:initial_folder_20_0408,300,241.070,80.175,92.131,409,0,22,142.395
22,ori_TxRed:0408-0100-0080:initial_folder_20_0407,418,261.584,80.117,100.919,408,0,23,141.976
23,ori_TxRed:0407-0097-0081:initial_folder_20_0406,413,263.373,80.917,98.958,407,0,24,141.193
24,ori_TxRed:0406-0095-0081:initial_folder_20_0405,403,251.881,80.849,96.521,406,0,25,140.596
25,ori_TxRed:0405-0093-0080:initial_folder_20_0404,350,246.014,80.293,95.328,405,0,26,141.126
26,ori_TxRed:0404-0093-0079:initial_folder_20_0403,353,230.360,79.372,94.035,404,0,27,138.795
27,ori_TxRed:0403-0091-0079:initial_folder_20_0402,272,227.779,79.871,92.660,403,0,28,142.324
28,ori_TxRed:0402-0091-0079:initial_folder_20_0401,285,225.218,79.099,93.341,402,0,29,140.303
29,ori_TxRed:0401-0090-0079:initial_folder_20_0400,271,236.181,79.411,90.899,401,0,30,141.061
30,ori_TxRed:0400-0106-0078:initial_folder_20_0399,530,247.558,78.538,109.941,400,0,31,142.168
31,ori_TxRed:0399-0104-0078:initial_folder_20_0398,415,235.737,78.097,105.933,399,0,32,141.364
32,ori_TxRed:0398-0102-0080:initial_folder_20_0397,404,238.611,80.138,103.269,398,0,33,142.669
33,ori_TxRed:0397-0101-0080:initial_folder_20_0396,394,228.703,79.168,101.901,397,0,34,142.013
34,ori_TxRed:0396-0112-0078:initial_folder_20_0395,366,229.937,77.718,113.953,396,0,35,142.361
35,ori_TxRed:0395-0134-0082:initial_folder_20_0394,641,262.229,80.904,139.195,395,0,36,140.975
36,ori_TxRed:0394-0134-0083:initial_folder_20_0393,537,253.158,81.478,139.639,394,0,37,141.299
37,ori_TxRed:0393-0139-0083:initial_folder_20_0392,486,256.840,82.160,143.643,393,0,38,141.689
38,ori_TxRed:0392-0136-0082:initial_folder_20_0391,438,246.084,81.454,139.371,392,0,39,141.210
39,ori_TxRed:0391-0134-0081:initial_folder_20_0390,359,238.524,80.459,137.015,391,0,40,141.590
40,ori_TxRed:0390-0130-0079:initial_folder_20_0389,363,241.471,79.399,132.485,390,0,41,141.131
41,ori_TxRed:0389-0136-0082:initial_folder_20_0388,553,255.854,81.691,141.243,389,0,42,140.942
42,ori_TxRed:0388-0138-0083:initial_folder_20_0387,536,241.424,82.104,142.837,388,0,43,140.462
43,ori_TxRed:0387-0142-0084:initial_folder_20_0386,453,244.881,82.779,145.265,387,0,44,140.570
44,ori_TxRed:0386-0137-0081:initial_folder_20_0385,379,245.947,81.583,139.918,386,0,45,142.003
45,ori_TxRed:0385-0150-0080:initial_folder_20_0384,578,268.766,80.757,154.530,385,0,46,140.574
