 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_ph:0429-0414-0098:initial_folder0_0428,225,164.653,97.996,412.384,429,1,2,148.874
2,ori_ph:0428-0412-0098:initial_folder0_0427,226,163.664,98.797,411.196,428,0,3,148.874
3,ori_ph:0427-0405-0097:initial_folder0_0426,323,163.805,98.269,403.995,427,0,4,148.866
4,ori_ph:0426-0407-0098:initial_folder0_0425,258,164.539,98.629,407.293,426,0,5,148.897
5,ori_ph:0425-0410-0098:initial_folder0_0424,222,164.383,98.757,410.043,425,0,6,149.011
6,ori_ph:0424-0410-0099:initial_folder0_0423,225,163.920,99.226,409.339,424,0,7,149.092
7,ori_ph:0423-0411-0098:initial_folder0_0422,216,166.583,98.174,409.969,423,0,8,149.048
8,ori_ph:0422-0410-0098:initial_folder0_0421,221,163.864,99.147,409.552,422,0,9,148.890
9,ori_ph:0421-0413-0099:initial_folder0_0420,164,163.860,98.357,411.619,421,0,10,148.918
10,ori_ph:0420-0411-0101:initial_folder0_0419,199,164.101,100.316,409.518,420,0,11,148.976
11,ori_ph:0419-0396-0099:initial_folder0_0418,329,163.781,99.798,396.740,419,0,12,148.830
12,ori_ph:0418-0398-0100:initial_folder0_0417,292,163.065,100.416,398.469,418,0,13,148.514
13,ori_ph:0417-0400-0100:initial_folder0_0416,227,162.678,99.819,400.272,417,0,14,148.910
14,ori_ph:0416-0404-0100:initial_folder0_0415,212,163.651,99.524,403.215,416,0,15,149.112
15,ori_ph:0415-0407-0098:initial_folder0_0414,256,162.488,98.002,406.627,415,0,16,148.743
16,ori_ph:0414-0410-0100:initial_folder0_0413,236,163.470,99.080,408.519,414,0,17,149.027
17,ori_ph:0413-0411-0095:initial_folder0_0412,145,166.662,95.685,412.063,413,0,18,148.764
18,ori_ph:0412-0397-0093:initial_folder0_0411,387,161.333,92.632,393.271,412,0,19,148.827
19,ori_ph:0411-0397-0092:initial_folder0_0410,461,161.126,92.678,395.918,411,0,20,148.676
20,ori_ph:0410-0401-0092:initial_folder0_0409,350,163.114,93.144,397.538,410,0,21,148.854
21,ori_ph:0409-0405-0092:initial_folder0_0408,351,162.214,92.975,402.129,409,0,22,148.710
22,ori_ph:0408-0406-0093:initial_folder0_0407,317,163.230,94.062,403.485,408,0,23,148.786
23,ori_ph:0407-0404-0092:initial_folder0_0406,260,162.431,92.822,403.032,407,0,24,148.857
24,ori_ph:0406-0405-0099:initial_folder0_0405,264,164.667,99.057,403.730,406,0,25,148.865
25,ori_ph:0405-0408-0099:initial_folder0_0404,281,164.256,99.022,407.447,405,0,26,148.726
26,ori_ph:0404-0396-0099:initial_folder0_0403,358,161.983,99.661,398.046,404,0,27,148.779
27,ori_ph:0403-0397-0099:initial_folder0_0402,336,162.068,99.859,400.387,403,0,28,148.517
28,ori_ph:0402-0398-0099:initial_folder0_0401,343,162.601,99.412,398.680,402,0,29,148.720
29,ori_ph:0401-0401-0098:initial_folder0_0400,270,164.578,97.777,401.509,401,0,30,148.803
30,ori_ph:0400-0402-0096:initial_folder0_0399,259,163.120,96.069,401.365,400,0,31,148.832
31,ori_ph:0399-0401-0096:initial_folder0_0398,172,164.349,96.444,402.930,399,0,32,148.762
32,ori_ph:0398-0402-0096:initial_folder0_0397,272,162.790,95.654,402.935,398,0,33,148.850
33,ori_ph:0397-0396-0096:initial_folder0_0396,350,162.757,96.083,395.626,397,0,34,148.584
34,ori_ph:0396-0400-0095:initial_folder0_0395,300,162.690,95.845,400.593,396,0,35,148.849
35,ori_ph:0395-0402-0095:initial_folder0_0394,336,160.396,96.081,402.019,395,0,36,148.948
36,ori_ph:0394-0405-0096:initial_folder0_0393,277,161.949,95.958,404.020,394,0,37,148.679
37,ori_ph:0393-0407-0096:initial_folder0_0392,208,164.524,95.752,407.023,393,0,38,148.871
38,ori_ph:0392-0408-0095:initial_folder0_0391,205,163.132,95.273,408.150,392,0,39,149.124
39,ori_ph:0391-0397-0095:initial_folder0_0390,386,162.456,95.642,396.831,391,0,40,148.969
40,ori_ph:0390-0399-0096:initial_folder0_0389,429,161.552,96.046,399.383,390,0,41,148.774
41,ori_ph:0389-0398-0096:initial_folder0_0388,345,162.243,96.440,400.791,389,0,42,149.023
42,ori_ph:0388-0400-0096:initial_folder0_0387,294,162.827,96.652,401.079,388,0,43,149.166
43,ori_ph:0387-0398-0097:initial_folder0_0386,313,162.792,96.567,399.934,387,0,44,148.775
44,ori_ph:0386-0404-0096:initial_folder0_0385,308,161.461,96.074,404.510,386,0,45,148.890
45,ori_ph:0385-0389-0097:initial_folder0_0384,490,161.900,97.158,389.523,385,0,46,148.747
46,ori_ph:0384-0398-0096:initial_folder0_0383,340,162.665,96.037,398.987,384,0,47,149.002
47,ori_ph:0383-0398-0096:initial_folder0_0382,283,163.505,96.242,399.273,383,0,48,148.709
48,ori_ph:0382-0402-0097:initial_folder0_0381,247,163.332,97.137,401.963,382,0,49,148.569
49,ori_ph:0381-0406-0098:initial_folder0_0380,257,163.031,97.733,404.829,381,0,50,149.067
50,ori_ph:0380-0406-0094:initial_folder0_0379,203,163.044,94.946,405.812,380,0,51,148.596
51,ori_ph:0379-0391-0097:initial_folder0_0378,299,163.836,96.865,390.152,379,0,52,149.089
52,ori_ph:0378-0396-0094:initial_folder0_0377,290,163.766,95.462,397.817,378,0,53,148.936
53,ori_ph:0377-0399-0096:initial_folder0_0376,308,163.633,96.594,399.465,377,0,54,148.830
