 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_ph:0141-0125-0111:Pos9-3_t0141_c0001,1379,593.100,110.027,121.878,141,1,2,663.762
2,ori_ph:0140-0125-0111:Pos9-3_t0140_c0001,1402,589.240,110.282,121.377,140,0,3,664.070
3,ori_ph:0139-0125-0110:Pos9-3_t0139_c0001,1325,590.870,109.879,122.551,139,0,4,662.255
4,ori_ph:0138-0125-0111:Pos9-3_t0138_c0001,1381,593.932,110.062,121.518,138,0,5,663.622
5,ori_ph:0137-0125-0112:Pos9-3_t0137_c0001,1346,589.337,109.923,122.780,137,0,6,662.458
6,ori_ph:0136-0124-0110:Pos9-3_t0136_c0001,1330,589.689,109.749,121.773,136,0,7,663.103
7,ori_ph:0135-0125-0111:Pos9-3_t0135_c0001,1420,589.696,110.109,121.657,135,0,8,661.317
8,ori_ph:0134-0125-0111:Pos9-3_t0134_c0001,1363,590.389,110.065,121.442,134,0,9,663.131
9,ori_ph:0133-0124-0112:Pos9-3_t0133_c0001,1433,592.261,110.435,120.849,133,0,10,662.751
10,ori_ph:0132-0125-0110:Pos9-3_t0132_c0001,1344,589.567,109.608,122.289,132,0,11,662.906
11,ori_ph:0131-0124-0112:Pos9-3_t0131_c0001,1404,592.053,110.217,121.165,131,0,12,662.315
12,ori_ph:0130-0124-0111:Pos9-3_t0130_c0001,1389,588.433,109.787,120.964,130,0,13,663.731
13,ori_ph:0129-0124-0111:Pos9-3_t0129_c0001,1351,588.601,109.895,122.285,129,0,14,664.299
14,ori_ph:0128-0125-0110:Pos9-3_t0128_c0001,1348,588.102,109.636,120.805,128,0,15,663.832
15,ori_ph:0127-0125-0111:Pos9-3_t0127_c0001,1349,586.913,109.858,121.579,127,0,16,664.207
16,ori_ph:0126-0124-0112:Pos9-3_t0126_c0001,1379,587.772,109.916,120.128,126,0,17,664.383
17,ori_ph:0125-0125-0111:Pos9-3_t0125_c0001,1378,587.897,109.935,121.662,125,0,18,662.945
18,ori_ph:0124-0124-0111:Pos9-3_t0124_c0001,1410,589.588,109.946,120.805,124,0,19,661.876
19,ori_ph:0123-0124-0111:Pos9-3_t0123_c0001,1274,591.475,110.420,120.241,123,0,20,666.780
20,ori_ph:0122-0124-0112:Pos9-3_t0122_c0001,1410,586.594,110.299,120.077,122,0,21,662.223
21,ori_ph:0121-0124-0111:Pos9-3_t0121_c0001,1395,587.295,109.793,120.784,121,0,22,662.931
