 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_TxRed:0141-0218-0081:Pos23-3_t0141_c0002,788,536.056,81.686,218.176,141,1,2,428.674
2,ori_TxRed:0140-0221-0081:Pos23-3_t0140_c0002,825,528.399,81.525,222.279,140,0,3,428.534
3,ori_TxRed:0139-0222-0082:Pos23-3_t0139_c0002,726,527.982,82.371,223.559,139,0,4,428.319
4,ori_TxRed:0138-0225-0082:Pos23-3_t0138_c0002,723,520.506,81.408,225.540,138,0,5,427.807
5,ori_TxRed:0137-0225-0083:Pos23-3_t0137_c0002,709,516.573,82.226,226.913,137,0,6,427.957
6,ori_TxRed:0136-0227-0082:Pos23-3_t0136_c0002,606,513.398,82.367,228.437,136,0,7,428.059
7,ori_TxRed:0135-0230-0082:Pos23-3_t0135_c0002,595,510.039,81.740,232.931,135,0,8,428.493
8,ori_TxRed:0134-0232-0083:Pos23-3_t0134_c0002,585,505.472,81.343,234.038,134,0,9,428.195
9,ori_TxRed:0133-0237-0083:Pos23-3_t0133_c0002,468,503.827,82.361,238.467,133,0,10,427.805
10,ori_TxRed:0132-0237-0082:Pos23-3_t0132_c0002,523,494.899,81.742,238.787,132,0,11,427.853
11,ori_TxRed:0131-0238-0082:Pos23-3_t0131_c0002,538,499.753,81.982,239.560,131,0,12,428.750
12,ori_TxRed:0130-0242-0082:Pos23-3_t0130_c0002,521,498.512,81.669,243.236,130,0,13,428.071
13,ori_TxRed:0129-0247-0081:Pos23-3_t0129_c0002,436,499.674,81.586,248.707,129,0,14,428.508
14,ori_TxRed:0128-0233-0080:Pos23-3_t0128_c0002,864,517.422,80.121,233.467,128,0,15,428.204
15,ori_TxRed:0127-0235-0081:Pos23-3_t0127_c0002,744,522.841,81.266,238.175,127,0,16,428.422
16,ori_TxRed:0126-0242-0082:Pos23-3_t0126_c0002,613,526.308,82.045,244.254,126,0,17,428.477
17,ori_TxRed:0125-0245-0082:Pos23-3_t0125_c0002,603,530.151,81.401,246.954,125,0,18,428.398
18,ori_TxRed:0124-0246-0082:Pos23-3_t0124_c0002,546,536.973,81.725,248.605,124,0,19,428.873
19,ori_TxRed:0123-0231-0081:Pos23-3_t0123_c0002,851,553.526,81.394,235.481,123,0,20,429.003
20,ori_TxRed:0122-0239-0081:Pos23-3_t0122_c0002,796,558.687,81.359,239.977,122,0,21,428.689
21,ori_TxRed:0121-0244-0082:Pos23-3_t0121_c0002,701,563.021,82.162,246.504,121,0,22,428.718
22,ori_TxRed:0120-0245-0082:Pos23-3_t0120_c0002,691,565.195,81.499,247.058,120,0,23,428.792
23,ori_TxRed:0119-0246-0081:Pos23-3_t0119_c0002,626,564.387,81.954,248.531,119,0,24,428.837
24,ori_TxRed:0118-0249-0083:Pos23-3_t0118_c0002,614,552.925,82.021,250.864,118,0,25,428.663
25,ori_TxRed:0117-0249-0082:Pos23-3_t0117_c0002,581,546.935,82.368,252.476,117,0,26,428.285
26,ori_TxRed:0116-0255-0082:Pos23-3_t0116_c0002,552,543.190,81.561,256.343,116,0,27,429.102
27,ori_TxRed:0115-0251-0082:Pos23-3_t0115_c0002,825,560.343,82.091,253.863,115,0,28,429.200
28,ori_TxRed:0114-0309-0082:Pos23-3_t0114_c0002,919,550.788,82.754,309.436,114,0,29,429.141
29,ori_TxRed:0113-0318-0082:Pos23-3_t0113_c0002,859,548.137,82.841,317.227,113,0,30,428.324
30,ori_TxRed:0112-0322-0082:Pos23-3_t0112_c0002,853,539.535,82.920,320.677,112,0,31,428.824
31,ori_TxRed:0111-0325-0083:Pos23-3_t0111_c0002,792,537.861,83.170,324.170,111,0,32,428.546
32,ori_TxRed:0110-0328-0083:Pos23-3_t0110_c0002,729,537.909,83.444,328.273,110,0,33,428.898
33,ori_TxRed:0109-0331-0083:Pos23-3_t0109_c0002,689,530.591,83.007,330.816,109,0,34,429.218
34,ori_TxRed:0108-0335-0084:Pos23-3_t0108_c0002,592,532.855,83.824,336.386,108,0,35,428.973
35,ori_TxRed:0107-0324-0083:Pos23-3_t0107_c0002,934,534.004,83.059,323.754,107,0,36,428.924
36,ori_TxRed:0106-0330-0083:Pos23-3_t0106_c0002,850,533.202,83.250,328.693,106,0,37,428.962
37,ori_TxRed:0105-0333-0083:Pos23-3_t0105_c0002,778,532.841,82.928,331.932,105,0,38,429.533
38,ori_TxRed:0104-0337-0083:Pos23-3_t0104_c0002,763,528.389,83.212,336.554,104,0,39,429.665
39,ori_TxRed:0103-0339-0083:Pos23-3_t0103_c0002,680,529.994,83.132,338.911,103,0,40,429.831
40,ori_TxRed:0102-0342-0083:Pos23-3_t0102_c0002,631,525.910,83.068,341.252,102,0,41,429.778
41,ori_TxRed:0101-0345-0084:Pos23-3_t0101_c0002,556,537.570,83.858,344.727,101,0,42,429.566
42,ori_TxRed:0100-0329-0084:Pos23-3_t0100_c0002,936,539.146,83.586,327.464,100,0,43,429.781
43,ori_TxRed:0099-0333-0084:Pos23-3_t0099_c0002,848,544.989,83.745,332.063,99,0,44,430.940
44,ori_TxRed:0098-0338-0084:Pos23-3_t0098_c0002,734,545.824,83.793,336.984,98,0,45,429.592
45,ori_TxRed:0097-0342-0085:Pos23-3_t0097_c0002,713,538.575,84.071,341.897,97,0,46,429.374
46,ori_TxRed:0096-0346-0085:Pos23-3_t0096_c0002,632,536.866,84.249,345.710,96,0,47,430.130
47,ori_TxRed:0095-0331-0085:Pos23-3_t0095_c0002,1003,546.671,83.950,330.456,95,0,48,430.290
48,ori_TxRed:0094-0335-0085:Pos23-3_t0094_c0002,890,545.878,83.870,335.162,94,0,49,429.964
49,ori_TxRed:0093-0338-0085:Pos23-3_t0093_c0002,800,548.129,83.875,338.128,93,0,50,429.858
50,ori_TxRed:0092-0343-0085:Pos23-3_t0092_c0002,728,541.496,84.097,343.299,92,0,51,431.558
51,ori_TxRed:0091-0343-0085:Pos23-3_t0091_c0002,694,537.249,84.216,343.598,91,0,52,431.776
52,ori_TxRed:0090-0347-0085:Pos23-3_t0090_c0002,586,546.003,84.002,346.554,90,0,53,431.318
53,ori_TxRed:0089-0332-0085:Pos23-3_t0089_c0002,927,556.063,83.398,331.144,89,0,54,430.932
54,ori_TxRed:0088-0335-0084:Pos23-3_t0088_c0002,828,555.267,83.481,334.684,88,0,55,431.661
55,ori_TxRed:0087-0338-0084:Pos23-3_t0087_c0002,762,556.858,83.703,338.303,87,0,56,431.369
56,ori_TxRed:0086-0342-0084:Pos23-3_t0086_c0002,680,565.760,83.668,341.078,86,0,57,432.190
57,ori_TxRed:0085-0345-0084:Pos23-3_t0085_c0002,630,566.638,83.486,344.447,85,0,58,432.868
58,ori_TxRed:0084-0346-0083:Pos23-3_t0084_c0002,549,575.821,83.557,345.682,84,0,59,433.634
59,ori_TxRed:0083-0335-0082:Pos23-3_t0083_c0002,819,593.774,82.818,334.324,83,0,60,433.283
60,ori_TxRed:0082-0338-0083:Pos23-3_t0082_c0002,784,598.161,83.154,337.650,82,0,61,433.251
61,ori_TxRed:0081-0340-0083:Pos23-3_t0081_c0002,740,598.450,83.203,339.706,81,0,62,433.858
62,ori_TxRed:0080-0343-0084:Pos23-3_t0080_c0002,670,595.072,83.487,342.968,80,0,63,433.478
63,ori_TxRed:0079-0345-0084:Pos23-3_t0079_c0002,649,584.928,83.239,344.038,79,0,64,433.000
64,ori_TxRed:0078-0347-0084:Pos23-3_t0078_c0002,554,580.529,83.548,346.898,78,0,65,432.761
65,ori_TxRed:0077-0328-0083:Pos23-3_t0077_c0002,976,587.185,83.183,328.486,77,0,66,433.243
66,ori_TxRed:0076-0334-0083:Pos23-3_t0076_c0002,871,592.247,83.239,333.837,76,0,67,432.704
67,ori_TxRed:0075-0337-0083:Pos23-3_t0075_c0002,766,595.261,82.995,338.216,75,0,68,434.327
68,ori_TxRed:0074-0343-0083:Pos23-3_t0074_c0002,699,606.642,83.125,342.315,74,0,69,440.563
69,ori_TxRed:0073-0345-0083:Pos23-3_t0073_c0002,666,591.929,83.275,344.388,73,0,70,433.919
70,ori_TxRed:0072-0346-0083:Pos23-3_t0072_c0002,581,597.854,83.299,346.558,72,0,71,437.969
71,ori_TxRed:0071-0336-0084:Pos23-3_t0071_c0002,885,601.346,83.389,335.989,71,0,72,436.282
72,ori_TxRed:0070-0339-0083:Pos23-3_t0070_c0002,788,601.876,83.382,338.882,70,0,73,434.330
73,ori_TxRed:0069-0344-0083:Pos23-3_t0069_c0002,725,603.670,83.180,343.097,69,0,74,433.404
74,ori_TxRed:0068-0346-0083:Pos23-3_t0068_c0002,630,599.883,83.301,345.397,68,0,75,433.487
75,ori_TxRed:0067-0346-0083:Pos23-3_t0067_c0002,605,595.321,83.213,346.269,67,0,76,432.784
76,ori_TxRed:0066-0349-0083:Pos23-3_t0066_c0002,545,594.791,83.234,349.165,66,0,77,432.524
77,ori_TxRed:0065-0336-0082:Pos23-3_t0065_c0002,825,589.553,82.992,336.144,65,0,78,432.754
78,ori_TxRed:0064-0343-0083:Pos23-3_t0064_c0002,754,590.367,83.170,342.580,64,0,79,433.348
79,ori_TxRed:0063-0345-0084:Pos23-3_t0063_c0002,710,591.106,83.347,344.595,63,0,80,433.889
