 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_ph:0170-0341-0096:Pos25-3_t0170_c0001,437,610.570,95.771,340.801,170,1,2,709.504
2,ori_ph:0169-0341-0096:Pos25-3_t0169_c0001,423,608.409,96.038,341.337,169,0,3,707.923
3,ori_ph:0168-0342-0096:Pos25-3_t0168_c0001,417,600.257,95.893,341.937,168,0,4,707.415
4,ori_ph:0167-0342-0096:Pos25-3_t0167_c0001,373,607.335,96.063,341.101,167,0,5,709.153
5,ori_ph:0166-0341-0096:Pos25-3_t0166_c0001,363,602.157,96.524,340.979,166,0,6,709.012
6,ori_ph:0165-0322-0096:Pos25-3_t0165_c0001,779,623.341,95.946,321.584,165,0,7,710.069
7,ori_ph:0164-0325-0096:Pos25-3_t0164_c0001,763,612.372,95.852,325.331,164,0,8,708.364
8,ori_ph:0163-0328-0096:Pos25-3_t0163_c0001,607,619.657,95.650,328.953,163,0,9,711.126
9,ori_ph:0162-0330-0096:Pos25-3_t0162_c0001,543,618.376,95.427,330.419,162,0,10,713.336
10,ori_ph:0161-0331-0096:Pos25-3_t0161_c0001,560,617.936,95.812,331.753,161,0,11,712.503
11,ori_ph:0160-0334-0096:Pos25-3_t0160_c0001,547,621.393,95.911,334.368,160,0,12,714.636
12,ori_ph:0159-0335-0096:Pos25-3_t0159_c0001,515,618.357,95.927,335.174,159,0,13,711.534
13,ori_ph:0158-0335-0096:Pos25-3_t0158_c0001,463,621.689,95.692,335.800,158,0,14,709.136
14,ori_ph:0157-0337-0096:Pos25-3_t0157_c0001,457,619.252,96.290,337.074,157,0,15,709.787
15,ori_ph:0156-0336-0096:Pos25-3_t0156_c0001,438,619.393,96.229,337.039,156,0,16,712.046
16,ori_ph:0155-0338-0096:Pos25-3_t0155_c0001,420,623.162,96.420,338.163,155,0,17,711.346
17,ori_ph:0154-0339-0096:Pos25-3_t0154_c0001,421,623.824,96.208,339.047,154,0,18,712.275
18,ori_ph:0153-0341-0096:Pos25-3_t0153_c0001,409,615.633,96.185,341.471,153,0,19,709.630
19,ori_ph:0152-0343-0096:Pos25-3_t0152_c0001,373,616.271,96.063,342.319,152,0,20,710.225
20,ori_ph:0151-0342-0095:Pos25-3_t0151_c0001,365,614.214,95.668,342.787,151,0,21,710.789
21,ori_ph:0150-0345-0095:Pos25-3_t0150_c0001,346,614.708,95.284,344.471,150,0,22,710.542
22,ori_ph:0149-0345-0095:Pos25-3_t0149_c0001,323,608.115,95.546,345.345,149,0,23,708.988
23,ori_ph:0148-0344-0096:Pos25-3_t0148_c0001,301,608.073,96.051,344.130,148,0,24,708.805
24,ori_ph:0147-0347-0097:Pos25-3_t0147_c0001,272,608.949,97.423,347.231,147,0,25,708.020
25,ori_ph:0146-0337-0094:Pos25-3_t0146_c0001,447,615.136,95.002,336.588,146,0,26,709.467
26,ori_ph:0145-0338-0095:Pos25-3_t0145_c0001,430,616.419,95.681,337.701,145,0,27,712.150
27,ori_ph:0144-0339-0096:Pos25-3_t0144_c0001,412,610.694,95.967,339.620,144,0,28,711.261
28,ori_ph:0143-0340-0096:Pos25-3_t0143_c0001,414,606.386,96.180,340.795,143,0,29,709.520
29,ori_ph:0142-0342-0096:Pos25-3_t0142_c0001,403,605.315,96.228,342.992,142,0,30,708.381
30,ori_ph:0141-0342-0096:Pos25-3_t0141_c0001,395,603.104,96.344,342.679,141,0,31,709.238
31,ori_ph:0140-0343-0096:Pos25-3_t0140_c0001,396,614.773,96.563,343.365,140,0,32,711.129
32,ori_ph:0139-0346-0097:Pos25-3_t0139_c0001,377,613.101,96.894,345.434,139,0,33,709.010
33,ori_ph:0138-0344-0097:Pos25-3_t0138_c0001,356,612.747,97.114,344.128,138,0,34,706.658
34,ori_ph:0137-0344-0097:Pos25-3_t0137_c0001,338,616.216,97.267,344.003,137,0,35,708.600
35,ori_ph:0136-0346-0098:Pos25-3_t0136_c0001,288,609.469,97.883,346.809,136,0,36,708.503
36,ori_ph:0135-0334-0096:Pos25-3_t0135_c0001,498,620.952,95.764,334.273,135,0,37,709.142
37,ori_ph:0134-0338-0096:Pos25-3_t0134_c0001,481,612.543,95.935,338.195,134,0,38,708.066
38,ori_ph:0133-0340-0096:Pos25-3_t0133_c0001,442,613.724,95.897,339.517,133,0,39,709.102
39,ori_ph:0132-0341-0096:Pos25-3_t0132_c0001,390,609.031,96.281,341.218,132,0,40,711.149
40,ori_ph:0131-0342-0096:Pos25-3_t0131_c0001,394,607.107,96.042,342.466,131,0,41,706.548
41,ori_ph:0130-0344-0096:Pos25-3_t0130_c0001,332,609.590,96.227,343.255,130,0,42,708.824
42,ori_ph:0129-0331-0096:Pos25-3_t0129_c0001,588,611.270,96.230,331.042,129,0,43,709.111
43,ori_ph:0128-0333-0096:Pos25-3_t0128_c0001,562,608.198,96.575,332.390,128,0,44,709.322
