 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_TxRed:0429-0378-0047:initial_folder0_0428,450,227.833,46.847,375.582,429,1,2,142.536
2,ori_TxRed:0428-0377-0047:initial_folder0_0427,344,235.262,47.622,376.116,428,0,3,144.830
3,ori_TxRed:0427-0381-0048:initial_folder0_0426,329,219.465,47.538,380.281,427,0,4,142.225
4,ori_TxRed:0426-0381-0048:initial_folder0_0425,290,233.252,47.852,379.732,426,0,5,144.885
5,ori_TxRed:0425-0370-0043:initial_folder0_0424,579,227.428,43.092,368.681,425,0,6,143.226
6,ori_TxRed:0424-0373-0043:initial_folder0_0423,420,232.071,43.758,372.328,424,0,7,142.454
7,ori_TxRed:0423-0374-0042:initial_folder0_0422,395,231.114,43.221,373.340,423,0,8,143.252
8,ori_TxRed:0422-0377-0042:initial_folder0_0421,361,227.343,43.180,375.474,422,0,9,141.722
9,ori_TxRed:0421-0377-0041:initial_folder0_0420,361,235.296,42.178,376.364,421,0,10,143.320
10,ori_TxRed:0420-0377-0042:initial_folder0_0419,336,225.631,42.937,376.091,420,0,11,141.956
11,ori_TxRed:0419-0365-0048:initial_folder0_0418,532,237.492,48.515,365.509,419,0,12,141.541
12,ori_TxRed:0418-0370-0047:initial_folder0_0417,492,231.929,47.249,369.406,418,0,13,143.014
13,ori_TxRed:0417-0376-0047:initial_folder0_0416,474,231.118,47.484,374.288,417,0,14,143.214
14,ori_TxRed:0416-0374-0047:initial_folder0_0415,407,231.518,47.564,373.025,416,0,15,143.640
15,ori_TxRed:0415-0380-0047:initial_folder0_0414,410,236.046,47.152,378.588,415,0,16,144.473
16,ori_TxRed:0414-0381-0048:initial_folder0_0413,266,248.455,48.372,380.718,414,0,17,142.928
17,ori_TxRed:0413-0381-0048:initial_folder0_0412,251,255.199,48.405,379.808,413,0,18,144.120
18,ori_TxRed:0412-0385-0048:initial_folder0_0411,221,233.814,47.436,384.310,412,0,19,143.188
19,ori_TxRed:0411-0389-0046:initial_folder0_0410,195,228.226,46.176,388.451,411,0,20,143.130
20,ori_TxRed:0410-0372-0047:initial_folder0_0409,447,261.011,46.706,369.465,410,0,21,145.551
21,ori_TxRed:0409-0374-0047:initial_folder0_0408,445,251.137,46.152,372.537,409,0,22,144.226
22,ori_TxRed:0408-0377-0047:initial_folder0_0407,431,252.313,46.523,375.730,408,0,23,145.404
23,ori_TxRed:0407-0379-0047:initial_folder0_0406,366,253.085,46.722,378.466,407,0,24,143.240
24,ori_TxRed:0406-0381-0047:initial_folder0_0405,371,246.105,46.190,379.611,406,0,25,144.469
25,ori_TxRed:0405-0381-0046:initial_folder0_0404,306,250.245,46.520,380.581,405,0,26,144.386
26,ori_TxRed:0404-0369-0047:initial_folder0_0403,511,268.249,46.626,368.233,404,0,27,143.665
27,ori_TxRed:0403-0372-0047:initial_folder0_0402,482,262.807,46.598,370.817,403,0,28,143.197
28,ori_TxRed:0402-0376-0047:initial_folder0_0401,459,258.745,46.607,374.160,402,0,29,142.675
29,ori_TxRed:0401-0379-0046:initial_folder0_0400,448,258.431,46.516,377.122,401,0,30,144.641
30,ori_TxRed:0400-0381-0047:initial_folder0_0399,355,267.654,46.323,379.633,400,0,31,143.827
31,ori_TxRed:0399-0380-0047:initial_folder0_0398,327,259.982,46.845,379.577,399,0,32,144.193
32,ori_TxRed:0398-0371-0047:initial_folder0_0397,525,263.914,47.039,369.895,398,0,33,145.016
33,ori_TxRed:0397-0373-0046:initial_folder0_0396,531,255.687,47.471,371.659,397,0,34,143.547
34,ori_TxRed:0396-0372-0047:initial_folder0_0395,498,252.243,47.309,371.727,396,0,35,143.970
35,ori_TxRed:0395-0377-0047:initial_folder0_0394,406,252.581,47.503,377.037,395,0,36,144.303
36,ori_TxRed:0394-0381-0047:initial_folder0_0393,384,252.586,47.452,379.122,394,0,37,144.500
37,ori_TxRed:0393-0382-0047:initial_folder0_0392,385,247.390,47.112,380.556,393,0,38,145.036
38,ori_TxRed:0392-0383-0047:initial_folder0_0391,348,256.049,47.654,382.679,392,0,39,143.988
39,ori_TxRed:0391-0383-0047:initial_folder0_0390,329,252.799,47.286,381.467,391,0,40,144.130
40,ori_TxRed:0390-0368-0047:initial_folder0_0389,560,273.095,48.430,368.713,390,0,41,145.203
41,ori_TxRed:0389-0371-0047:initial_folder0_0388,515,268.221,48.254,369.956,389,0,42,144.951
42,ori_TxRed:0388-0374-0047:initial_folder0_0387,459,274.394,48.249,373.340,388,0,43,148.032
43,ori_TxRed:0387-0374-0047:initial_folder0_0386,455,266.877,47.976,373.847,387,0,44,145.273
44,ori_TxRed:0386-0377-0047:initial_folder0_0385,389,251.342,47.582,376.463,386,0,45,144.680
45,ori_TxRed:0385-0377-0047:initial_folder0_0384,391,253.169,47.818,376.952,385,0,46,145.090
46,ori_TxRed:0384-0379-0047:initial_folder0_0383,338,250.071,47.857,378.847,384,0,47,142.844
47,ori_TxRed:0383-0379-0047:initial_folder0_0382,281,253.751,47.645,380.539,383,0,48,143.342
48,ori_TxRed:0382-0369-0047:initial_folder0_0381,509,268.022,46.816,368.424,382,0,49,144.431
49,ori_TxRed:0381-0371-0047:initial_folder0_0380,513,258.049,47.384,370.228,381,0,50,143.995
50,ori_TxRed:0380-0375-0047:initial_folder0_0379,466,262.459,48.043,373.963,380,0,51,144.646
51,ori_TxRed:0379-0376-0047:initial_folder0_0378,393,256.087,48.224,375.749,379,0,52,145.407
52,ori_TxRed:0378-0377-0048:initial_folder0_0377,390,262.872,47.986,376.685,378,0,53,145.727
53,ori_TxRed:0377-0378-0049:initial_folder0_0376,357,251.359,49.000,377.350,377,0,54,143.664
54,ori_TxRed:0376-0369-0044:initial_folder0_0375,607,258.133,43.918,367.441,376,0,55,144.398
55,ori_TxRed:0375-0372-0043:initial_folder0_0374,558,254.090,42.990,370.412,375,0,56,144.865
56,ori_TxRed:0374-0374-0043:initial_folder0_0373,530,249.742,43.490,373.188,374,0,57,146.241
57,ori_TxRed:0373-0379-0042:initial_folder0_0372,440,252.655,42.575,377.828,373,0,58,144.792
58,ori_TxRed:0372-0381-0042:initial_folder0_0371,391,248.688,42.415,379.816,372,0,59,145.615
59,ori_TxRed:0371-0381-0042:initial_folder0_0370,322,249.832,42.810,381.039,371,0,60,145.394
60,ori_TxRed:0370-0383-0042:initial_folder0_0369,317,246.826,43.204,382.024,370,0,61,144.517
61,ori_TxRed:0369-0369-0044:initial_folder0_0368,550,259.751,44.669,367.771,369,0,62,145.792
62,ori_TxRed:0368-0372-0044:initial_folder0_0367,489,260.978,44.514,371.420,368,0,63,144.942
63,ori_TxRed:0367-0374-0042:initial_folder0_0366,473,255.746,43.144,373.019,367,0,64,145.390
64,ori_TxRed:0366-0379-0042:initial_folder0_0365,421,259.014,42.591,377.381,366,0,65,144.250
65,ori_TxRed:0365-0381-0042:initial_folder0_0364,347,255.527,42.725,381.876,365,0,66,145.514
66,ori_TxRed:0364-0382-0042:initial_folder0_0363,322,264.550,42.256,381.697,364,0,67,143.006
67,ori_TxRed:0363-0383-0041:initial_folder0_0362,351,257.376,42.054,381.638,363,0,68,146.052
68,ori_TxRed:0362-0370-0042:initial_folder0_0361,576,269.564,42.067,368.613,362,0,69,144.385
69,ori_TxRed:0361-0374-0043:initial_folder0_0360,527,271.712,42.927,372.802,361,0,70,146.838
70,ori_TxRed:0360-0376-0043:initial_folder0_0359,417,269.079,43.543,373.995,360,0,71,144.427
71,ori_TxRed:0359-0379-0042:initial_folder0_0358,384,266.581,42.561,378.034,359,0,72,144.401
