 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_YFP:0429-0384-0092:initial_folder_90_0428,391,320.527,90.728,382.545,429,1,2,136.456
2,ori_YFP:0428-0382-0093:initial_folder_90_0427,383,325.240,93.059,382.399,428,0,3,137.222
3,ori_YFP:0427-0380-0094:initial_folder_90_0426,423,309.778,92.710,380.517,427,0,4,136.698
4,ori_YFP:0426-0381-0091:initial_folder_90_0425,421,323.784,91.124,381.293,426,0,5,138.935
5,ori_YFP:0425-0377-0096:initial_folder_90_0424,509,336.843,95.767,376.385,425,0,6,135.697
6,ori_YFP:0424-0378-0091:initial_folder_90_0423,442,329.640,91.011,379.119,424,0,7,136.727
7,ori_YFP:0423-0382-0093:initial_folder_90_0422,377,332.353,93.206,381.651,423,0,8,137.104
8,ori_YFP:0422-0381-0097:initial_folder_90_0421,417,341.712,95.452,380.557,422,0,9,135.542
9,ori_YFP:0421-0381-0097:initial_folder_90_0420,411,335.684,95.474,380.645,421,0,10,137.907
10,ori_YFP:0420-0381-0096:initial_folder_90_0419,405,331.965,95.112,381.187,420,0,11,137.076
11,ori_YFP:0419-0381-0092:initial_folder_90_0418,413,331.603,91.781,381.863,419,0,12,136.828
12,ori_YFP:0418-0381-0094:initial_folder_90_0417,452,330.108,93.398,379.980,418,0,13,137.259
13,ori_YFP:0417-0384-0097:initial_folder_90_0416,417,345.969,95.755,383.485,417,0,14,138.173
14,ori_YFP:0416-0379-0094:initial_folder_90_0415,450,327.129,93.277,377.738,416,0,15,137.425
15,ori_YFP:0415-0378-0092:initial_folder_90_0414,441,306.261,92.229,378.779,415,0,16,136.256
16,ori_YFP:0414-0381-0096:initial_folder_90_0413,440,344.648,95.019,380.630,414,0,17,137.134
17,ori_YFP:0413-0382-0095:initial_folder_90_0412,439,342.549,93.457,380.832,413,0,18,137.084
18,ori_YFP:0412-0379-0094:initial_folder_90_0411,466,321.755,93.622,379.796,412,0,19,137.461
19,ori_YFP:0411-0380-0096:initial_folder_90_0410,436,349.211,94.002,379.591,411,0,20,138.066
20,ori_YFP:0410-0380-0093:initial_folder_90_0409,445,321.544,92.934,380.656,410,0,21,136.597
21,ori_YFP:0409-0381-0094:initial_folder_90_0408,435,339.434,93.586,380.415,409,0,22,137.771
22,ori_YFP:0408-0377-0090:initial_folder_90_0407,452,334.177,89.819,376.982,408,0,23,138.162
23,ori_YFP:0407-0379-0093:initial_folder_90_0406,442,316.387,92.683,380.022,407,0,24,139.088
24,ori_YFP:0406-0379-0093:initial_folder_90_0405,487,353.986,92.947,378.379,406,0,25,135.887
25,ori_YFP:0405-0378-0094:initial_folder_90_0404,461,349.568,93.547,378.031,405,0,26,139.036
26,ori_YFP:0404-0379-0095:initial_folder_90_0403,431,352.622,94.265,378.688,404,0,27,137.830
27,ori_YFP:0403-0378-0093:initial_folder_90_0402,472,361.199,92.281,377.187,403,0,28,137.090
28,ori_YFP:0402-0377-0094:initial_folder_90_0401,512,332.662,93.333,376.434,402,0,29,137.719
29,ori_YFP:0401-0381-0095:initial_folder_90_0400,458,349.371,93.630,380.165,401,0,30,136.962
30,ori_YFP:0400-0381-0091:initial_folder_90_0399,468,352.186,90.872,380.958,400,0,31,137.580
31,ori_YFP:0399-0379-0097:initial_folder_90_0398,429,381.879,96.697,378.510,399,0,32,138.527
32,ori_YFP:0398-0379-0094:initial_folder_90_0397,450,362.453,93.539,378.906,398,0,33,136.952
33,ori_YFP:0397-0381-0093:initial_folder_90_0396,456,366.814,93.606,380.114,397,0,34,138.048
34,ori_YFP:0396-0378-0096:initial_folder_90_0395,488,360.865,94.157,376.840,396,0,35,137.182
35,ori_YFP:0395-0378-0097:initial_folder_90_0394,521,339.365,95.915,378.594,395,0,36,137.493
36,ori_YFP:0394-0382-0097:initial_folder_90_0393,462,349.310,96.100,381.344,394,0,37,137.107
37,ori_YFP:0393-0382-0096:initial_folder_90_0392,409,377.232,94.814,381.629,393,0,38,138.186
38,ori_YFP:0392-0380-0093:initial_folder_90_0391,448,334.069,93.157,379.940,392,0,39,138.310
39,ori_YFP:0391-0382-0096:initial_folder_90_0390,435,369.807,95.470,380.105,391,0,40,137.877
40,ori_YFP:0390-0382-0096:initial_folder_90_0389,456,365.904,94.877,380.396,390,0,41,138.208
41,ori_YFP:0389-0379-0096:initial_folder_90_0388,500,369.148,94.755,378.456,389,0,42,138.623
42,ori_YFP:0388-0380-0093:initial_folder_90_0387,462,359.924,91.823,379.373,388,0,43,138.168
43,ori_YFP:0387-0379-0093:initial_folder_90_0386,489,349.080,92.280,379.381,387,0,44,137.609
44,ori_YFP:0386-0382-0094:initial_folder_90_0385,406,363.562,94.298,382.449,386,0,45,138.976
45,ori_YFP:0385-0382-0093:initial_folder_90_0384,430,382.098,92.047,381.081,385,0,46,136.523
46,ori_YFP:0384-0381-0096:initial_folder_90_0383,483,370.611,95.104,380.704,384,0,47,137.516
47,ori_YFP:0383-0379-0094:initial_folder_90_0382,502,348.120,93.586,379.954,383,0,48,140.039
48,ori_YFP:0382-0382-0094:initial_folder_90_0381,440,358.736,93.756,381.024,382,0,49,140.231
49,ori_YFP:0381-0381-0093:initial_folder_90_0380,449,354.884,91.595,381.283,381,0,50,140.043
50,ori_YFP:0380-0383-0094:initial_folder_90_0379,433,362.977,94.082,384.013,380,0,51,138.529
51,ori_YFP:0379-0377-0094:initial_folder_90_0378,500,345.792,93.199,379.016,379,0,52,138.335
52,ori_YFP:0378-0382-0096:initial_folder_90_0377,459,377.691,95.734,380.331,378,0,53,137.690
53,ori_YFP:0377-0380-0098:initial_folder_90_0376,497,369.907,96.872,379.002,377,0,54,137.763
54,ori_YFP:0376-0383-0091:initial_folder_90_0375,436,356.443,91.669,383.189,376,0,55,139.532
55,ori_YFP:0375-0385-0096:initial_folder_90_0374,445,372.942,95.362,383.768,375,0,56,137.362
56,ori_YFP:0374-0382-0096:initial_folder_90_0373,437,383.927,94.795,381.922,374,0,57,137.508
57,ori_YFP:0373-0384-0094:initial_folder_90_0372,479,378.050,93.135,383.310,373,0,58,136.934
58,ori_YFP:0372-0382-0095:initial_folder_90_0371,435,363.890,94.120,382.462,372,0,59,137.892
59,ori_YFP:0371-0382-0094:initial_folder_90_0370,416,375.892,93.448,382.420,371,0,60,138.108
60,ori_YFP:0370-0383-0097:initial_folder_90_0369,422,387.746,96.501,382.195,370,0,61,138.015
61,ori_YFP:0369-0379-0091:initial_folder_90_0368,475,356.806,90.911,380.534,369,0,62,138.180
62,ori_YFP:0368-0380-0092:initial_folder_90_0367,435,372.464,92.549,381.816,368,0,63,140.441
63,ori_YFP:0367-0383-0093:initial_folder_90_0366,456,382.362,93.182,381.348,367,0,64,137.728
64,ori_YFP:0366-0383-0094:initial_folder_90_0365,436,375.140,93.706,382.816,366,0,65,139.563
65,ori_YFP:0365-0383-0095:initial_folder_90_0364,464,374.147,94.135,381.190,365,0,66,138.005
66,ori_YFP:0364-0377-0098:initial_folder_90_0363,503,362.388,96.554,378.150,364,0,67,139.924
67,ori_YFP:0363-0381-0092:initial_folder_90_0362,450,349.207,92.381,381.392,363,0,68,138.376
68,ori_YFP:0362-0385-0096:initial_folder_90_0361,455,379.646,94.405,383.357,362,0,69,139.083
69,ori_YFP:0361-0387-0096:initial_folder_90_0360,487,366.066,95.239,384.464,361,0,70,138.269
70,ori_YFP:0360-0385-0094:initial_folder_90_0359,445,388.409,92.436,383.902,360,0,71,138.105
71,ori_YFP:0359-0382-0093:initial_folder_90_0358,431,368.503,92.376,383.064,359,0,72,139.801
72,ori_YFP:0358-0382-0095:initial_folder_90_0357,470,392.577,95.022,381.278,358,0,73,139.283
73,ori_YFP:0357-0383-0094:initial_folder_90_0356,453,331.996,92.878,383.910,357,0,74,138.190
74,ori_YFP:0356-0384-0093:initial_folder_90_0355,427,385.555,92.942,383.316,356,0,75,139.543
75,ori_YFP:0355-0377-0097:initial_folder_90_0354,522,361.774,95.767,376.305,355,0,76,138.572
76,ori_YFP:0354-0381-0092:initial_folder_90_0353,508,359.852,92.198,381.601,354,0,77,139.929
77,ori_YFP:0353-0383-0093:initial_folder_90_0352,449,365.795,92.304,383.384,353,0,78,138.577
78,ori_YFP:0352-0380-0093:initial_folder_90_0351,509,375.639,92.321,380.710,352,0,79,137.781
79,ori_YFP:0351-0380-0092:initial_folder_90_0350,474,356.468,92.629,379.638,351,0,80,137.027
80,ori_YFP:0350-0382-0096:initial_folder_90_0349,500,390.012,94.732,379.369,350,0,81,138.144
81,ori_YFP:0349-0379-0098:initial_folder_90_0348,438,365.233,96.618,378.282,349,0,82,140.482
82,ori_YFP:0348-0384-0093:initial_folder_90_0347,421,398.572,92.382,383.514,348,0,83,138.532
83,ori_YFP:0347-0384-0097:initial_folder_90_0346,419,380.143,95.256,383.287,347,0,84,139.112
84,ori_YFP:0346-0383-0095:initial_folder_90_0345,463,367.225,93.532,382.384,346,0,85,140.076
85,ori_YFP:0345-0383-0095:initial_folder_90_0344,475,378.480,93.792,383.297,345,0,86,138.034
86,ori_YFP:0344-0382-0092:initial_folder_90_0343,469,390.126,90.643,381.757,344,0,87,138.590
87,ori_YFP:0343-0382-0092:initial_folder_90_0342,454,396.868,91.157,381.604,343,0,88,138.130
