Slice,Area,file,id_number,TxRed,YFP,integrated_old
448,267,2001,0,136.68099999999998,263.738,263.738
447,244,2001,0,131.639,265.64500000000004,265.64500000000004
446,258,2001,0,134.95600000000002,264.513,264.513
445,487,2001,0,127.67599999999993,249.14800000000002,249.14800000000002
444,467,2001,0,131.79000000000002,256.38199999999995,256.38199999999995
443,433,2001,0,130.84699999999998,255.21699999999998,255.21699999999998
442,404,2001,0,143.284,278.65700000000004,278.65700000000004
441,363,2001,0,148.71500000000003,273.84800000000007,273.84800000000007
440,368,2001,0,142.346,270.48400000000004,270.48400000000004
439,359,2001,0,140.55299999999994,268.223,268.223
438,317,2001,0,145.75499999999994,265.72400000000005,265.72400000000005
437,306,2001,0,145.26800000000003,275.495,275.495
436,296,2001,0,142.738,273.61899999999997,273.61899999999997
435,295,2001,0,148.42799999999994,265.0929999999999,265.0929999999999
434,302,2001,0,149.65600000000006,256.925,256.925
433,264,2001,0,151.61699999999996,261.471,261.471
432,264,2001,0,154.06500000000005,252.51000000000005,252.51000000000005
431,290,2001,0,160.95399999999995,256.22600000000006,256.22600000000006
430,252,2001,0,168.1020000000001,263.227,263.227
429,244,2001,0,176.80300000000005,270.086,270.086
428,239,2001,0,165.769,267.315,267.315
427,226,2001,0,166.038,244.65000000000003,244.65000000000003
426,186,2001,0,165.19699999999995,247.81799999999998,247.81799999999998
425,454,2001,0,176.76999999999998,277.64500000000004,277.64500000000004
424,401,2001,0,178.86399999999998,269.1239999999999,269.1239999999999
423,377,2001,0,188.68800000000005,278.803,278.803
422,348,2001,0,186.5970000000001,280.513,280.513
421,337,2001,0,185.527,280.958,280.958
420,334,2001,0,183.09599999999995,265.44300000000004,265.44300000000004
419,368,2001,0,175.81500000000005,260.32399999999996,260.32399999999996
418,1663,2001,0,226.76500000000004,330.06800000000004,330.06800000000004
417,1675,2001,0,228.711,324.1009999999999,324.1009999999999
416,1650,2001,0,229.3200000000001,324.8989999999999,324.8989999999999
415,1500,2001,0,233.4679999999999,329.81800000000004,329.81800000000004
414,1662,2001,0,236.767,327.85200000000003,327.85200000000003
413,1586,2001,0,242.2630000000001,331.917,331.917
412,1515,2001,0,242.75000000000006,328.092,328.092
411,1544,2001,0,251.61299999999994,336.84100000000007,336.84100000000007
410,1617,2001,0,250.29300000000006,332.55299999999994,332.55299999999994
409,1536,2001,0,264.78299999999996,342.29099999999994,342.29099999999994
408,1874,2001,0,274.34000000000003,355.1830000000001,355.1830000000001
407,1761,2001,0,280.9749999999999,360.34900000000005,360.34900000000005
406,1769,2001,0,283.52299999999997,364.97299999999996,364.97299999999996
405,1835,2001,0,285.56500000000005,359.55100000000004,359.55100000000004
404,1849,2001,0,287.63399999999996,353.692,353.692
403,1811,2001,0,291.8160000000001,352.148,352.148
402,1693,2001,0,300.11499999999995,357.42599999999993,357.42599999999993
401,1722,2001,0,302.2100000000001,347.59500000000014,347.59500000000014
400,1664,2001,0,305.95199999999994,344.92999999999995,344.92999999999995
399,1629,2001,0,311.77400000000006,342.651,342.651
398,1556,2001,0,313.1640000000001,335.3009999999999,335.3009999999999
397,2102,2001,0,310.2800000000001,336.0300000000001,336.0300000000001
396,2025,2001,0,309.5320000000001,321.88,321.88
395,1904,2001,0,321.3419999999999,329.47300000000007,329.47300000000007
394,1817,2001,0,341.819,340.53700000000003,340.53700000000003
393,1863,2001,0,343.5619999999999,340.85200000000003,340.85200000000003
392,1723,2001,0,349.52,341.41999999999996,341.41999999999996
391,1712,2001,0,352.141,336.88599999999997,336.88599999999997
390,1697,2001,0,360.733,333.836,333.836
389,1662,2001,0,361.016,332.00900000000007,332.00900000000007
388,1686,2001,0,364.18299999999994,326.082,326.082
387,1709,2001,0,362.32000000000005,321.10400000000004,321.10400000000004
386,1638,2001,0,368.863,320.685,320.685
385,1657,2001,0,373.513,319.34000000000003,319.34000000000003
384,1649,2001,0,375.3950000000001,314.13700000000006,314.13700000000006
383,2144,2001,0,374.24099999999993,314.338,314.338
382,2078,2001,0,380.05400000000003,311.9409999999999,311.9409999999999
381,1978,2001,0,383.4259999999999,311.27700000000004,311.27700000000004
380,2005,2001,0,380.86099999999993,302.9800000000001,302.9800000000001
379,1925,2001,0,389.7249999999999,306.56800000000004,306.56800000000004
378,1897,2001,0,395.92,305.7,305.7
377,1769,2001,0,404.4079999999999,308.5279999999999,308.5279999999999
376,1808,2001,0,400.11300000000006,299.95099999999996,299.95099999999996
375,1757,2001,0,401.258,296.42599999999993,296.42599999999993
374,1724,2001,0,404.32700000000006,300.18,300.18
373,1733,2001,0,407.21199999999993,300.3370000000001,300.3370000000001
372,1727,2001,0,411.5210000000001,300.34400000000005,300.34400000000005
371,1752,2001,0,407.04299999999995,296.154,296.154
370,1750,2001,0,408.13100000000003,296.27199999999993,296.27199999999993
369,1712,2001,0,409.387,293.446,293.446
368,1737,2001,0,400.641,291.96700000000004,291.96700000000004
367,1735,2001,0,396.84600000000006,287.04999999999995,287.04999999999995
366,1698,2001,0,395.78800000000007,290.55999999999995,290.55999999999995
365,1685,2001,0,395.142,289.47799999999995,289.47799999999995
364,1681,2001,0,390.074,286.91,286.91
363,1654,2001,0,386.85400000000004,289.96500000000003,289.96500000000003
362,1653,2001,0,382.99399999999997,286.158,286.158
361,1681,2001,0,373.25200000000007,284.2790000000001,284.2790000000001
360,1602,2001,0,373.91999999999996,286.72100000000006,286.72100000000006
359,1564,2001,0,371.23800000000006,285.88000000000005,285.88000000000005
358,1470,2001,0,372.60400000000004,291.44499999999994,291.44499999999994
357,1465,2001,0,367.17499999999995,287.74300000000005,287.74300000000005
356,1453,2001,0,362.015,289.552,289.552
355,1465,2001,0,353.90900000000005,286.86800000000005,286.86800000000005
354,1426,2001,0,347.00999999999993,286.83500000000004,286.83500000000004
353,1438,2001,0,337.263,285.59,285.59
352,1409,2001,0,334.472,288.101,288.101
351,1395,2001,0,325.203,287.24999999999994,287.24999999999994
350,1414,2001,0,315.20199999999994,281.87300000000005,281.87300000000005
349,1392,2001,0,317.545,289.699,289.699
348,1363,2001,0,311.4839999999999,290.37699999999995,290.37699999999995
347,1358,2001,0,294.69699999999995,291.422,291.422
346,1326,2001,0,292.14,290.19499999999994,290.19499999999994
345,1319,2001,0,284.26000000000005,288.67600000000004,288.67600000000004
344,1272,2001,0,282.35699999999997,295.56100000000004,295.56100000000004
343,1257,2001,0,271.293,284.96400000000006,284.96400000000006
342,1274,2001,0,264.52900000000005,283.98499999999996,283.98499999999996
341,1234,2001,0,259.124,290.76000000000005,290.76000000000005
340,1212,2001,0,259.8089999999999,292.96999999999997,292.96999999999997
339,1143,2001,0,254.1359999999999,295.70399999999995,295.70399999999995
338,1170,2001,0,249.61600000000004,297.92699999999996,297.92699999999996
337,1047,2001,0,257.235,313.34400000000005,313.34400000000005
336,1020,2001,0,250.52200000000005,318.12999999999994,318.12999999999994
335,1021,2001,0,244.03999999999996,317.44,317.44
334,1018,2001,0,236.77400000000011,311.976,311.976
333,1017,2001,0,224.91999999999996,308.04400000000015,308.04400000000015
332,988,2001,0,224.46500000000003,307.178,307.178
331,971,2001,0,223.36400000000003,304.899,304.899
330,943,2001,0,222.74300000000005,309.7439999999999,309.7439999999999
329,950,2001,0,222.54299999999995,303.06000000000006,303.06000000000006
328,938,2001,0,218.474,300.079,300.079
327,890,2001,0,224.199,309.346,309.346
326,893,2001,0,225.168,309.27600000000007,309.27600000000007
325,885,2001,0,225.12000000000012,306.36699999999996,306.36699999999996
324,881,2001,0,229.50799999999998,310.943,310.943
323,862,2001,0,232.95600000000007,316.187,316.187
322,881,2001,0,231.40800000000002,310.369,310.369
321,861,2001,0,225.16900000000004,306.047,306.047
320,1517,2001,0,239.47700000000003,323.5300000000001,323.5300000000001
319,1453,2001,0,244.41600000000005,333.808,333.808
318,1453,2001,0,239.0940000000001,324.288,324.288
317,1406,2001,0,241.69699999999995,323.318,323.318
316,1382,2001,0,240.83100000000007,318.985,318.985
315,1312,2001,0,244.30999999999995,324.0479999999999,324.0479999999999
314,1306,2001,0,247.35800000000006,320.45199999999994,320.45199999999994
313,1267,2001,0,251.27800000000008,321.6539999999999,321.6539999999999
312,1279,2001,0,250.71799999999996,318.03299999999996,318.03299999999996
311,1229,2001,0,254.12,320.917,320.917
310,1248,2001,0,251.33100000000002,310.7300000000001,310.7300000000001
309,1209,2001,0,252.41999999999996,316.09999999999997,316.09999999999997
308,1215,2001,0,257.20699999999994,314.13399999999996,314.13399999999996
307,1199,2001,0,260.388,310.1659999999999,310.1659999999999
306,1146,2001,0,269.96500000000003,315.919,315.919
305,1037,2001,0,278.50300000000004,308.18899999999996,308.18899999999996
304,976,2001,0,289.918,317.036,317.036
303,966,2001,0,293.4479999999999,316.813,316.813
302,915,2001,0,305.98300000000006,318.20600000000013,318.20600000000013
301,888,2001,0,309.018,319.48799999999994,319.48799999999994
300,870,2001,0,320.01199999999994,324.7690000000001,324.7690000000001
299,873,2001,0,325.546,317.7210000000001,317.7210000000001
298,889,2001,0,320.12200000000007,305.897,305.897
297,844,2001,0,338.1669999999999,318.16900000000004,318.16900000000004
296,831,2001,0,340.76,318.7189999999999,318.7189999999999
295,818,2001,0,342.759,320.64500000000004,320.64500000000004
294,796,2001,0,350.0549999999999,323.8399999999999,323.8399999999999
293,803,2001,0,344.97399999999993,312.272,312.272
292,780,2001,0,349.30600000000004,315.23800000000006,315.23800000000006
291,772,2001,0,355.23,318.603,318.603
290,780,2001,0,354.08299999999997,312.82500000000005,312.82500000000005
289,779,2001,0,349.203,307.05899999999997,307.05899999999997
288,774,2001,0,346.475,305.7320000000001,305.7320000000001
287,758,2001,0,344.185,308.649,308.649
286,753,2001,0,347.20400000000006,315.615,315.615
285,743,2001,0,344.11799999999994,310.0079999999999,310.0079999999999
284,738,2001,0,345.7159999999999,309.89000000000004,309.89000000000004
283,725,2001,0,343.75500000000005,311.84000000000015,311.84000000000015
282,1486,2001,0,351.45300000000003,311.0969999999999,311.0969999999999
281,1442,2001,0,356.2969999999999,318.61600000000004,318.61600000000004
280,1433,2001,0,350.721,316.33399999999995,316.33399999999995
279,1428,2001,0,351.856,312.55400000000003,312.55400000000003
278,1436,2001,0,343.4290000000001,308.299,308.299
277,1411,2001,0,342.68399999999997,309.76700000000005,309.76700000000005
276,1418,2001,0,342.584,306.22700000000003,306.22700000000003
275,1403,2001,0,341.81600000000003,300.09200000000004,300.09200000000004
274,1381,2001,0,343.276,307.50699999999995,307.50699999999995
273,1384,2001,0,340.6200000000001,302.41,302.41
